area,2020,2025,2030,2035,2040,2045,2050
PL,0.322,0.33,0.337,0.342,0.347,0.353,0.358
PL dolnośląskie,0.313,0.321,0.327,0.332,0.337,0.343,0.348
PL kujawsko-pomorskie,0.522,0.531,0.539,0.544,0.55,0.556,0.561
PL lubelskie,0.336,0.345,0.352,0.357,0.362,0.368,0.373
PL lubuskie,0.194,0.2,0.205,0.209,0.213,0.217,0.221
PL mazowieckie,0.417,0.426,0.434,0.439,0.445,0.451,0.457
PL małopolskie,0.253,0.259,0.266,0.27,0.274,0.28,0.284
PL opolskie,0.381,0.39,0.398,0.403,0.408,0.415,0.42
PL podkarpackie,0.129,0.133,0.136,0.139,0.142,0.145,0.148
PL podlaskie,0.193,0.199,0.204,0.208,0.211,0.216,0.219
PL pomorskie,0.412,0.421,0.429,0.434,0.44,0.446,0.452
PL warmińsko-mazurskie,0.229,0.235,0.241,0.245,0.249,0.254,0.258
PL wielkopolskie,0.239,0.245,0.251,0.255,0.26,0.265,0.269
PL zachodniopomorskie,0.325,0.333,0.34,0.345,0.35,0.356,0.361
PL łódzkie,0.275,0.282,0.289,0.293,0.298,0.303,0.308
PL śląskie,0.334,0.342,0.349,0.354,0.359,0.365,0.37
PL świętokrzyskie,0.223,0.229,0.235,0.239,0.243,0.248,0.252
