voivodeship,lon,lat
dolnośląskie,16.410609997267695,51.08942360075771
kujawsko-pomorskie,18.48813541467223,53.07272364023829
lubelskie,22.900267615202974,51.22067283978441
lubuskie,15.342801478570626,52.19615829510184
mazowieckie,21.09644657889014,52.345762857524214
małopolskie,20.26939590199957,49.85888480791835
opolskie,17.89968592932622,50.64704114294703
podkarpackie,22.169168286058476,49.953636888413605
podlaskie,22.9293623181105,53.26440604089387
pomorskie,17.975073134858686,54.152871589735405
warmińsko-mazurskie,20.83372606650373,53.85377646282353
wielkopolskie,17.24312483562465,52.33071028948712
zachodniopomorskie,15.564663098176393,53.58084055151038
łódzkie,19.417616741446277,51.60484763477933
śląskie,18.994033846282885,50.331054361077676
świętokrzyskie,20.76903433691316,50.763403696541
