name,area,carrier,type,parameter,year,value
PL biogas CHP flow 2020,PL,biogas CHP,outflow,flow,2020,1.1
PL biogas CHP flow 2021,PL,biogas CHP,outflow,flow,2021,1.2
PL biogas CHP flow 2022,PL,biogas CHP,outflow,flow,2022,1.2
PL biogas CHP flow 2023,PL,biogas CHP,outflow,flow,2023,1.3
PL biogas CHP flow 2024,PL,biogas CHP,outflow,flow,2024,1.4
PL biomass wood CHP flow 2020,PL,biomass wood CHP,outflow,flow,2020,4.4
PL biomass wood CHP flow 2021,PL,biomass wood CHP,outflow,flow,2021,3.6
PL biomass wood CHP flow 2022,PL,biomass wood CHP,outflow,flow,2022,3.6
PL biomass wood CHP flow 2023,PL,biomass wood CHP,outflow,flow,2023,3.6
PL biomass wood CHP flow 2024,PL,biomass wood CHP,outflow,flow,2024,3.2
PL biomass wood power flow 2020,PL,biomass wood power,outflow,flow,2020,1.9
PL biomass wood power flow 2021,PL,biomass wood power,outflow,flow,2021,2.3
PL biomass wood power flow 2022,PL,biomass wood power,outflow,flow,2022,1.9
PL biomass wood power flow 2023,PL,biomass wood power,outflow,flow,2023,2.3
PL biomass wood power flow 2024,PL,biomass wood power,outflow,flow,2024,2.3
PL electricity HMV final use flow 2020,PL,electricity HMV final use,inflow,flow,2020,90.3
PL electricity HMV final use flow 2021,PL,electricity HMV final use,inflow,flow,2021,94.6
PL electricity HMV final use flow 2022,PL,electricity HMV final use,inflow,flow,2022,93.1
PL electricity HMV final use flow 2023,PL,electricity HMV final use,inflow,flow,2023,89.5
PL electricity HMV final use flow 2024,PL,electricity HMV final use,inflow,flow,2024,90.6
PL electricity LV final use flow 2020,PL,electricity LV final use,inflow,flow,2020,65.4
PL electricity LV final use flow 2021,PL,electricity LV final use,inflow,flow,2021,68.5
PL electricity LV final use flow 2022,PL,electricity LV final use,inflow,flow,2022,67.4
PL electricity LV final use flow 2023,PL,electricity LV final use,inflow,flow,2023,64.8
PL electricity LV final use flow 2024,PL,electricity LV final use,inflow,flow,2024,65.6
PL electricity export flow 2020,PL,electricity export,inflow,flow,2020,7.4
PL electricity export flow 2021,PL,electricity export,inflow,flow,2021,14.2
PL electricity export flow 2022,PL,electricity export,inflow,flow,2022,16.9
PL electricity export flow 2023,PL,electricity export,inflow,flow,2023,11.4
PL electricity export flow 2024,PL,electricity export,inflow,flow,2024,13.2
PL electricity import flow 2020,PL,electricity import,outflow,flow,2020,20.6
PL electricity import flow 2021,PL,electricity import,outflow,flow,2021,15.1
PL electricity import flow 2022,PL,electricity import,outflow,flow,2022,15.2
PL electricity import flow 2023,PL,electricity import,outflow,flow,2023,15.1
PL electricity import flow 2024,PL,electricity import,outflow,flow,2024,15.2
PL hard coal CHP flow 2020,PL,hard coal CHP,outflow,flow,2020,17.2
PL hard coal CHP flow 2021,PL,hard coal CHP,outflow,flow,2021,17.9
PL hard coal CHP flow 2022,PL,hard coal CHP,outflow,flow,2022,16.1
PL hard coal CHP flow 2023,PL,hard coal CHP,outflow,flow,2023,14.3
PL hard coal CHP flow 2024,PL,hard coal CHP,outflow,flow,2024,13.6
PL hard coal power flow 2020,PL,hard coal power,outflow,flow,2020,46.7
PL hard coal power flow 2021,PL,hard coal power,outflow,flow,2021,57.2
PL hard coal power flow 2022,PL,hard coal power,outflow,flow,2022,54.7
PL hard coal power flow 2023,PL,hard coal power,outflow,flow,2023,44.2
PL hard coal power flow 2024,PL,hard coal power,outflow,flow,2024,38.9
PL hydro PSH power flow 2020,PL,hydro PSH power,outflow,flow,2020,0.8
PL hydro PSH power flow 2021,PL,hydro PSH power,outflow,flow,2021,0.8
PL hydro PSH power flow 2022,PL,hydro PSH power,outflow,flow,2022,1.1
PL hydro PSH power flow 2023,PL,hydro PSH power,outflow,flow,2023,1.3
PL hydro PSH power flow 2024,PL,hydro PSH power,outflow,flow,2024,1.0
PL hydro ROR flow 2020,PL,hydro ROR,outflow,flow,2020,2.1
PL hydro ROR flow 2021,PL,hydro ROR,outflow,flow,2021,2.3
PL hydro ROR flow 2022,PL,hydro ROR,outflow,flow,2022,2.0
PL hydro ROR flow 2023,PL,hydro ROR,outflow,flow,2023,2.4
