name,area,carrier,type,parameter,year,value
PL biogas CHP flow 2020,PL,biogas CHP,outflow,flow,2020,1.1
PL biogas CHP flow 2023,PL,biogas CHP,outflow,flow,2023,1.3
PL biogas CHP flow 2024,PL,biogas CHP,outflow,flow,2024,1.4
PL biomass wood CHP flow 2020,PL,biomass wood CHP,outflow,flow,2020,4.4
PL biomass wood CHP flow 2023,PL,biomass wood CHP,outflow,flow,2023,3.6
PL biomass wood CHP flow 2024,PL,biomass wood CHP,outflow,flow,2024,3.2
PL biomass wood power flow 2020,PL,biomass wood power,outflow,flow,2020,1.9
PL biomass wood power flow 2023,PL,biomass wood power,outflow,flow,2023,2.3
PL biomass wood power flow 2024,PL,biomass wood power,outflow,flow,2024,2.3
PL electricity export flow 2020,PL,electricity export,inflow,flow,2020,7.4
PL electricity export flow 2023,PL,electricity export,inflow,flow,2023,11.4
PL electricity export flow 2024,PL,electricity export,inflow,flow,2024,13.2
PL electricity import flow 2020,PL,electricity import,outflow,flow,2020,20.6
PL electricity import flow 2023,PL,electricity import,outflow,flow,2023,15.1
PL electricity import flow 2024,PL,electricity import,outflow,flow,2024,15.2
PL hard coal CHP flow 2020,PL,hard coal CHP,outflow,flow,2020,17.2
PL hard coal CHP flow 2023,PL,hard coal CHP,outflow,flow,2023,14.3
PL hard coal CHP flow 2024,PL,hard coal CHP,outflow,flow,2024,13.6
PL hard coal power flow 2020,PL,hard coal power,outflow,flow,2020,46.7
PL hard coal power flow 2023,PL,hard coal power,outflow,flow,2023,44.2
PL hard coal power flow 2024,PL,hard coal power,outflow,flow,2024,38.9
PL hydro PSH power flow 2020,PL,hydro PSH power,outflow,flow,2020,0.8
PL hydro PSH power flow 2023,PL,hydro PSH power,outflow,flow,2023,1.3
PL hydro PSH power flow 2024,PL,hydro PSH power,outflow,flow,2024,1.0
PL hydro ROR flow 2020,PL,hydro ROR,outflow,flow,2020,2.1
PL hydro ROR flow 2023,PL,hydro ROR,outflow,flow,2023,2.4
PL hydro ROR flow 2024,PL,hydro ROR,outflow,flow,2024,2.1
PL hydrogen final use flow 2020,PL,hydrogen final use,inflow,flow,2020,28.6
PL hydrogen final use flow 2023,PL,hydrogen final use,inflow,flow,2023,23.7
PL lignite power flow 2020,PL,lignite power,outflow,flow,2020,33.0
PL lignite power flow 2023,PL,lignite power,outflow,flow,2023,29.8
PL lignite power flow 2024,PL,lignite power,outflow,flow,2024,30.8
PL natural gas CHP flow 2020,PL,natural gas CHP,outflow,flow,2020,15.8
PL natural gas CHP flow 2023,PL,natural gas CHP,outflow,flow,2023,16.2
PL natural gas CHP flow 2024,PL,natural gas CHP,outflow,flow,2024,19.1
PL natural gas power flow 2024,PL,natural gas power,outflow,flow,2024,1.0
PL other CHP flow 2020,PL,other CHP,outflow,flow,2020,2.7
PL other CHP flow 2023,PL,other CHP,outflow,flow,2023,2.4
PL other CHP flow 2024,PL,other CHP,outflow,flow,2024,2.4
PL other heating final use flow 2020,PL,other heating final use,inflow,flow,2020,15.6
PL other heating final use flow 2023,PL,other heating final use,inflow,flow,2023,15.2
PL solar PV ground flow 2020,PL,solar PV ground,outflow,flow,2020,1.0
PL solar PV ground flow 2023,PL,solar PV ground,outflow,flow,2023,4.6
PL solar PV ground flow 2024,PL,solar PV ground,outflow,flow,2024,7.4
PL solar PV roof flow 2020,PL,solar PV roof,outflow,flow,2020,1.1
PL solar PV roof flow 2023,PL,solar PV roof,outflow,flow,2023,6.8
PL solar PV roof flow 2024,PL,solar PV roof,outflow,flow,2024,7.9
PL wind onshore flow 2020,PL,wind onshore,outflow,flow,2020,15.8
PL wind onshore flow 2023,PL,wind onshore,outflow,flow,2023,23.2
PL wind onshore flow 2024,PL,wind onshore,outflow,flow,2024,24.5
PL dolnośląskie electricity HMV final use flow 2020,PL dolnośląskie,electricity HMV final use,inflow,flow,2020,11.91
PL dolnośląskie electricity HMV final use flow 2023,PL dolnośląskie,electricity HMV final use,inflow,flow,2023,11.81
PL dolnośląskie electricity HMV final use flow 2024,PL dolnośląskie,electricity HMV final use,inflow,flow,2024,11.95
PL dolnośląskie electricity LV final use flow 2020,PL dolnośląskie,electricity LV final use,inflow,flow,2020,5.2
PL dolnośląskie electricity LV final use flow 2023,PL dolnośląskie,electricity LV final use,inflow,flow,2023,5.15
PL dolnośląskie electricity LV final use flow 2024,PL dolnośląskie,electricity LV final use,inflow,flow,2024,5.22
PL dolnośląskie light vehicle mobility final use flow 2020,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2020,3.37
PL dolnośląskie light vehicle mobility final use flow 2023,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2023,3.46
PL dolnośląskie space heating final use flow 2020,PL dolnośląskie,space heating final use,inflow,flow,2020,11.48
PL dolnośląskie space heating final use flow 2023,PL dolnośląskie,space heating final use,inflow,flow,2023,11.26
PL dolnośląskie water heating final use flow 2020,PL dolnośląskie,water heating final use,inflow,flow,2020,3.57
PL dolnośląskie water heating final use flow 2023,PL dolnośląskie,water heating final use,inflow,flow,2023,3.75
PL kujawsko-pomorskie electricity HMV final use flow 2020,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2020,3.6
PL kujawsko-pomorskie electricity HMV final use flow 2023,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2023,3.57
PL kujawsko-pomorskie electricity HMV final use flow 2024,PL kujawsko-pomorskie,electricity HMV final use,inflow,flow,2024,3.61
PL kujawsko-pomorskie electricity LV final use flow 2020,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2020,3.54
PL kujawsko-pomorskie electricity LV final use flow 2023,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2023,3.51
PL kujawsko-pomorskie electricity LV final use flow 2024,PL kujawsko-pomorskie,electricity LV final use,inflow,flow,2024,3.55
PL kujawsko-pomorskie light vehicle mobility final use flow 2020,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2020,2.26
PL kujawsko-pomorskie light vehicle mobility final use flow 2023,PL kujawsko-pomorskie,light vehicle mobility final use,inflow,flow,2023,2.29
PL kujawsko-pomorskie space heating final use flow 2020,PL kujawsko-pomorskie,space heating final use,inflow,flow,2020,8.34
PL kujawsko-pomorskie space heating final use flow 2023,PL kujawsko-pomorskie,space heating final use,inflow,flow,2023,8.17
PL kujawsko-pomorskie water heating final use flow 2020,PL kujawsko-pomorskie,water heating final use,inflow,flow,2020,2.55
PL kujawsko-pomorskie water heating final use flow 2023,PL kujawsko-pomorskie,water heating final use,inflow,flow,2023,2.69
PL lubelskie electricity HMV final use flow 2020,PL lubelskie,electricity HMV final use,inflow,flow,2020,2.67
PL lubelskie electricity HMV final use flow 2023,PL lubelskie,electricity HMV final use,inflow,flow,2023,2.65
PL lubelskie electricity HMV final use flow 2024,PL lubelskie,electricity HMV final use,inflow,flow,2024,2.68
PL lubelskie electricity LV final use flow 2020,PL lubelskie,electricity LV final use,inflow,flow,2020,2.8
PL lubelskie electricity LV final use flow 2023,PL lubelskie,electricity LV final use,inflow,flow,2023,2.77
PL lubelskie electricity LV final use flow 2024,PL lubelskie,electricity LV final use,inflow,flow,2024,2.81
PL lubelskie light vehicle mobility final use flow 2020,PL lubelskie,light vehicle mobility final use,inflow,flow,2020,2.35
PL lubelskie light vehicle mobility final use flow 2023,PL lubelskie,light vehicle mobility final use,inflow,flow,2023,2.4
PL lubelskie space heating final use flow 2020,PL lubelskie,space heating final use,inflow,flow,2020,9.02
PL lubelskie space heating final use flow 2023,PL lubelskie,space heating final use,inflow,flow,2023,8.85
PL lubelskie water heating final use flow 2020,PL lubelskie,water heating final use,inflow,flow,2020,2.61
PL lubelskie water heating final use flow 2023,PL lubelskie,water heating final use,inflow,flow,2023,2.74
PL lubuskie electricity HMV final use flow 2020,PL lubuskie,electricity HMV final use,inflow,flow,2020,2.17
