name,area,carrier,type,parameter,year,value
PL biomass wood final use flow 2020,PL,biomass wood final use,inflow,flow,2020,33.9
PL biomass wood final use flow 2025,PL,biomass wood final use,inflow,flow,2025,40.5
PL biomass wood final use flow 2030,PL,biomass wood final use,inflow,flow,2030,46.0
PL biomass wood final use flow 2035,PL,biomass wood final use,inflow,flow,2035,50.4
PL biomass wood final use flow 2040,PL,biomass wood final use,inflow,flow,2040,53.8
PL biomass wood final use flow 2045,PL,biomass wood final use,inflow,flow,2045,56.0
PL biomass wood final use flow 2050,PL,biomass wood final use,inflow,flow,2050,57.1
PL electricity HMV final use flow 2020,PL,electricity HMV final use,inflow,flow,2020,88.2
PL electricity HMV final use flow 2025,PL,electricity HMV final use,inflow,flow,2025,79.8
PL electricity HMV final use flow 2030,PL,electricity HMV final use,inflow,flow,2030,91.1
PL electricity HMV final use flow 2035,PL,electricity HMV final use,inflow,flow,2035,106.7
PL electricity HMV final use flow 2040,PL,electricity HMV final use,inflow,flow,2040,125.4
PL electricity HMV final use flow 2045,PL,electricity HMV final use,inflow,flow,2045,144.1
PL electricity HMV final use flow 2050,PL,electricity HMV final use,inflow,flow,2050,159.7
PL electricity LV final use flow 2020,PL,electricity LV final use,inflow,flow,2020,55.4
PL electricity LV final use flow 2025,PL,electricity LV final use,inflow,flow,2025,57.9
PL electricity LV final use flow 2030,PL,electricity LV final use,inflow,flow,2030,61.5
PL electricity LV final use flow 2035,PL,electricity LV final use,inflow,flow,2035,66.2
PL electricity LV final use flow 2040,PL,electricity LV final use,inflow,flow,2040,70.0
PL electricity LV final use flow 2045,PL,electricity LV final use,inflow,flow,2045,72.6
PL electricity LV final use flow 2050,PL,electricity LV final use,inflow,flow,2050,72.9
PL hard coal final use flow 2020,PL,hard coal final use,inflow,flow,2020,55.7
PL hard coal final use flow 2025,PL,hard coal final use,inflow,flow,2025,47.8
PL hard coal final use flow 2030,PL,hard coal final use,inflow,flow,2030,39.3
PL hard coal final use flow 2035,PL,hard coal final use,inflow,flow,2035,23.5
PL hard coal final use flow 2040,PL,hard coal final use,inflow,flow,2040,5.4
PL hydrogen final use flow 2020,PL,hydrogen final use,inflow,flow,2020,27.1
PL hydrogen final use flow 2025,PL,hydrogen final use,inflow,flow,2025,27.1
PL hydrogen final use flow 2030,PL,hydrogen final use,inflow,flow,2030,27.1
PL hydrogen final use flow 2035,PL,hydrogen final use,inflow,flow,2035,31.7
PL hydrogen final use flow 2040,PL,hydrogen final use,inflow,flow,2040,43.8
PL hydrogen final use flow 2045,PL,hydrogen final use,inflow,flow,2045,58.6
PL hydrogen final use flow 2050,PL,hydrogen final use,inflow,flow,2050,74.3
PL light vehicle mobility final use flow 2020,PL,light vehicle mobility final use,inflow,flow,2020,42.0
PL light vehicle mobility final use flow 2025,PL,light vehicle mobility final use,inflow,flow,2025,47.2
PL light vehicle mobility final use flow 2030,PL,light vehicle mobility final use,inflow,flow,2030,51.4
PL light vehicle mobility final use flow 2035,PL,light vehicle mobility final use,inflow,flow,2035,52.2
PL light vehicle mobility final use flow 2040,PL,light vehicle mobility final use,inflow,flow,2040,50.4
PL light vehicle mobility final use flow 2045,PL,light vehicle mobility final use,inflow,flow,2045,47.7
PL light vehicle mobility final use flow 2050,PL,light vehicle mobility final use,inflow,flow,2050,44.0
PL lulucf final use flow 2020,PL,lulucf final use,inflow,flow,2020,19.1
PL lulucf final use flow 2025,PL,lulucf final use,inflow,flow,2025,22.3
PL lulucf final use flow 2030,PL,lulucf final use,inflow,flow,2030,25.5
PL lulucf final use flow 2035,PL,lulucf final use,inflow,flow,2035,28.7
PL lulucf final use flow 2040,PL,lulucf final use,inflow,flow,2040,31.9
PL lulucf final use flow 2045,PL,lulucf final use,inflow,flow,2045,35.1
PL lulucf final use flow 2050,PL,lulucf final use,inflow,flow,2050,38.3
PL natural gas final use flow 2020,PL,natural gas final use,inflow,flow,2020,63.8
PL natural gas final use flow 2025,PL,natural gas final use,inflow,flow,2025,71.0
PL natural gas final use flow 2030,PL,natural gas final use,inflow,flow,2030,74.2
PL natural gas final use flow 2035,PL,natural gas final use,inflow,flow,2035,66.3
PL natural gas final use flow 2040,PL,natural gas final use,inflow,flow,2040,55.1
PL natural gas final use flow 2045,PL,natural gas final use,inflow,flow,2045,38.7
PL natural gas final use flow 2050,PL,natural gas final use,inflow,flow,2050,23.4
PL other fuel final use flow 2020,PL,other fuel final use,inflow,flow,2020,164.9
PL other fuel final use flow 2025,PL,other fuel final use,inflow,flow,2025,190.5
PL other fuel final use flow 2030,PL,other fuel final use,inflow,flow,2030,203.6
PL other fuel final use flow 2035,PL,other fuel final use,inflow,flow,2035,198.9
PL other fuel final use flow 2040,PL,other fuel final use,inflow,flow,2040,180.7
PL other fuel final use flow 2045,PL,other fuel final use,inflow,flow,2045,148.9
PL other fuel final use flow 2050,PL,other fuel final use,inflow,flow,2050,110.4
PL other heating final use flow 2020,PL,other heating final use,inflow,flow,2020,16.1
PL other heating final use flow 2025,PL,other heating final use,inflow,flow,2025,16.0
PL other heating final use flow 2030,PL,other heating final use,inflow,flow,2030,15.8
PL other heating final use flow 2035,PL,other heating final use,inflow,flow,2035,15.4
PL other heating final use flow 2040,PL,other heating final use,inflow,flow,2040,14.9
PL other heating final use flow 2045,PL,other heating final use,inflow,flow,2045,14.9
PL other heating final use flow 2050,PL,other heating final use,inflow,flow,2050,14.9
PL process emissions final use flow 2020,PL,process emissions final use,inflow,flow,2020,81.9
PL process emissions final use flow 2025,PL,process emissions final use,inflow,flow,2025,79.6
PL process emissions final use flow 2030,PL,process emissions final use,inflow,flow,2030,77.2
PL process emissions final use flow 2035,PL,process emissions final use,inflow,flow,2035,65.0
PL process emissions final use flow 2040,PL,process emissions final use,inflow,flow,2040,49.0
PL process emissions final use flow 2045,PL,process emissions final use,inflow,flow,2045,38.0
PL process emissions final use flow 2050,PL,process emissions final use,inflow,flow,2050,32.8
PL space heating final use flow 2020,PL,space heating final use,inflow,flow,2020,158.8
PL space heating final use flow 2025,PL,space heating final use,inflow,flow,2025,143.6
PL space heating final use flow 2030,PL,space heating final use,inflow,flow,2030,130.8
