name,area,carrier,type,parameter,year,value
PL biomass wood final use flow 2020,PL,biomass wood final use,inflow,flow,2020,33.9
PL biomass wood final use flow 2025,PL,biomass wood final use,inflow,flow,2025,40.5
PL biomass wood final use flow 2030,PL,biomass wood final use,inflow,flow,2030,46.0
PL biomass wood final use flow 2035,PL,biomass wood final use,inflow,flow,2035,50.4
PL biomass wood final use flow 2040,PL,biomass wood final use,inflow,flow,2040,53.8
PL biomass wood final use flow 2045,PL,biomass wood final use,inflow,flow,2045,56.0
PL biomass wood final use flow 2050,PL,biomass wood final use,inflow,flow,2050,57.1
PL hard coal final use flow 2020,PL,hard coal final use,inflow,flow,2020,55.7
PL hard coal final use flow 2025,PL,hard coal final use,inflow,flow,2025,47.8
PL hard coal final use flow 2030,PL,hard coal final use,inflow,flow,2030,39.3
PL hard coal final use flow 2035,PL,hard coal final use,inflow,flow,2035,23.5
PL hard coal final use flow 2040,PL,hard coal final use,inflow,flow,2040,5.4
PL hydrogen final use flow 2020,PL,hydrogen final use,inflow,flow,2020,27.1
PL hydrogen final use flow 2025,PL,hydrogen final use,inflow,flow,2025,27.1
PL hydrogen final use flow 2030,PL,hydrogen final use,inflow,flow,2030,27.1
PL hydrogen final use flow 2035,PL,hydrogen final use,inflow,flow,2035,31.7
PL hydrogen final use flow 2040,PL,hydrogen final use,inflow,flow,2040,43.8
PL hydrogen final use flow 2045,PL,hydrogen final use,inflow,flow,2045,58.6
PL hydrogen final use flow 2050,PL,hydrogen final use,inflow,flow,2050,74.3
PL lulucf final use flow 2020,PL,lulucf final use,inflow,flow,2020,19.1
PL lulucf final use flow 2025,PL,lulucf final use,inflow,flow,2025,22.3
PL lulucf final use flow 2030,PL,lulucf final use,inflow,flow,2030,25.5
PL lulucf final use flow 2035,PL,lulucf final use,inflow,flow,2035,28.7
PL lulucf final use flow 2040,PL,lulucf final use,inflow,flow,2040,31.9
PL lulucf final use flow 2045,PL,lulucf final use,inflow,flow,2045,35.1
PL lulucf final use flow 2050,PL,lulucf final use,inflow,flow,2050,38.3
PL natural gas final use flow 2020,PL,natural gas final use,inflow,flow,2020,63.8
PL natural gas final use flow 2025,PL,natural gas final use,inflow,flow,2025,71.0
PL natural gas final use flow 2030,PL,natural gas final use,inflow,flow,2030,74.2
PL natural gas final use flow 2035,PL,natural gas final use,inflow,flow,2035,66.3
PL natural gas final use flow 2040,PL,natural gas final use,inflow,flow,2040,55.1
PL natural gas final use flow 2045,PL,natural gas final use,inflow,flow,2045,38.7
PL natural gas final use flow 2050,PL,natural gas final use,inflow,flow,2050,23.4
PL other fuel final use flow 2020,PL,other fuel final use,inflow,flow,2020,164.9
PL other fuel final use flow 2025,PL,other fuel final use,inflow,flow,2025,190.5
PL other fuel final use flow 2030,PL,other fuel final use,inflow,flow,2030,203.6
PL other fuel final use flow 2035,PL,other fuel final use,inflow,flow,2035,195.8
PL other fuel final use flow 2040,PL,other fuel final use,inflow,flow,2040,169.2
PL other fuel final use flow 2045,PL,other fuel final use,inflow,flow,2045,125.4
PL other fuel final use flow 2050,PL,other fuel final use,inflow,flow,2050,72.2
PL other heating final use flow 2020,PL,other heating final use,inflow,flow,2020,16.1
PL other heating final use flow 2025,PL,other heating final use,inflow,flow,2025,16.0
PL other heating final use flow 2030,PL,other heating final use,inflow,flow,2030,15.8
PL other heating final use flow 2035,PL,other heating final use,inflow,flow,2035,15.4
PL other heating final use flow 2040,PL,other heating final use,inflow,flow,2040,14.9
PL other heating final use flow 2045,PL,other heating final use,inflow,flow,2045,14.9
PL other heating final use flow 2050,PL,other heating final use,inflow,flow,2050,14.9
PL process emissions final use flow 2020,PL,process emissions final use,inflow,flow,2020,81.9
PL process emissions final use flow 2025,PL,process emissions final use,inflow,flow,2025,79.6
PL process emissions final use flow 2030,PL,process emissions final use,inflow,flow,2030,77.2
PL process emissions final use flow 2035,PL,process emissions final use,inflow,flow,2035,65.0
PL process emissions final use flow 2040,PL,process emissions final use,inflow,flow,2040,49.0
PL process emissions final use flow 2045,PL,process emissions final use,inflow,flow,2045,38.0
PL process emissions final use flow 2050,PL,process emissions final use,inflow,flow,2050,32.8
PL dolnośląskie electricity HMV final use flow 2020,PL dolnośląskie,electricity HMV final use,inflow,flow,2020,11.63
PL dolnośląskie electricity HMV final use flow 2025,PL dolnośląskie,electricity HMV final use,inflow,flow,2025,10.53
PL dolnośląskie electricity HMV final use flow 2030,PL dolnośląskie,electricity HMV final use,inflow,flow,2030,12.02
PL dolnośląskie electricity HMV final use flow 2035,PL dolnośląskie,electricity HMV final use,inflow,flow,2035,14.07
PL dolnośląskie electricity HMV final use flow 2040,PL dolnośląskie,electricity HMV final use,inflow,flow,2040,16.54
PL dolnośląskie electricity HMV final use flow 2045,PL dolnośląskie,electricity HMV final use,inflow,flow,2045,19.01
PL dolnośląskie electricity HMV final use flow 2050,PL dolnośląskie,electricity HMV final use,inflow,flow,2050,21.06
PL dolnośląskie electricity LV final use flow 2020,PL dolnośląskie,electricity LV final use,inflow,flow,2020,4.4
PL dolnośląskie electricity LV final use flow 2025,PL dolnośląskie,electricity LV final use,inflow,flow,2025,4.6
PL dolnośląskie electricity LV final use flow 2030,PL dolnośląskie,electricity LV final use,inflow,flow,2030,4.89
PL dolnośląskie electricity LV final use flow 2035,PL dolnośląskie,electricity LV final use,inflow,flow,2035,5.26
PL dolnośląskie electricity LV final use flow 2040,PL dolnośląskie,electricity LV final use,inflow,flow,2040,5.56
PL dolnośląskie electricity LV final use flow 2045,PL dolnośląskie,electricity LV final use,inflow,flow,2045,5.77
PL dolnośląskie electricity LV final use flow 2050,PL dolnośląskie,electricity LV final use,inflow,flow,2050,5.8
PL dolnośląskie light vehicle mobility final use flow 2020,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2020,3.23
PL dolnośląskie light vehicle mobility final use flow 2025,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2025,3.64
PL dolnośląskie light vehicle mobility final use flow 2030,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2030,3.96
PL dolnośląskie light vehicle mobility final use flow 2035,PL dolnośląskie,light vehicle mobility final use,inflow,flow,2035,4.02
