name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL BEV BEV 2020,PL,,BEV,,BEV,,,2020,,FALSE,130.0,
PL BEV BEV 2025,PL,,BEV,,BEV,,,2025,,FALSE,1520.0,
PL BEV BEV 2030,PL,,BEV,,BEV,,,2030,,FALSE,0.0,
PL BEV BEV 2035,PL,,BEV,,BEV,,,2035,,FALSE,0.0,
PL BEV BEV 2040,PL,,BEV,,BEV,,,2040,,FALSE,0.0,
PL BEV BEV 2045,PL,,BEV,,BEV,,,2045,,FALSE,0.0,
PL BEV BEV 2050,PL,,BEV,,BEV,,,2050,,FALSE,0.0,
PL BEV V2G LV 2020,PL,,BEV V2G,,LV,,,2020,,FALSE,140.0,
PL BEV V2G LV 2025,PL,,BEV V2G,,LV,,,2025,,FALSE,1680.0,
PL BEV V2G LV 2030,PL,,BEV V2G,,LV,,,2030,,FALSE,0.0,
PL BEV V2G LV 2035,PL,,BEV V2G,,LV,,,2035,,FALSE,0.0,
PL BEV V2G LV 2040,PL,,BEV V2G,,LV,,,2040,,FALSE,0.0,
PL BEV V2G LV 2045,PL,,BEV V2G,,LV,,,2045,,FALSE,0.0,
PL BEV V2G LV 2050,PL,,BEV V2G,,LV,,,2050,,FALSE,0.0,
PL BEV battery 2020,PL,,BEV battery,,,,,2020,,FALSE,620.0,
PL BEV battery 2025,PL,,BEV battery,,,,,2025,,FALSE,5980.0,
PL BEV battery 2030,PL,,BEV battery,,,,,2030,,FALSE,0.0,
PL BEV battery 2035,PL,,BEV battery,,,,,2035,,FALSE,0.0,
PL BEV battery 2040,PL,,BEV battery,,,,,2040,,FALSE,0.0,
PL BEV battery 2045,PL,,BEV battery,,,,,2045,,FALSE,0.0,
PL BEV battery 2050,PL,,BEV battery,,,,,2050,,FALSE,0.0,
PL BEV charger LV 2020,PL,,BEV charger,,,LV,,2020,,FALSE,130.0,
PL BEV charger LV 2025,PL,,BEV charger,,,LV,,2025,,FALSE,1500.0,
PL BEV charger LV 2030,PL,,BEV charger,,,LV,,2030,,FALSE,0.0,
PL BEV charger LV 2035,PL,,BEV charger,,,LV,,2035,,FALSE,0.0,
PL BEV charger LV 2040,PL,,BEV charger,,,LV,,2040,,FALSE,0.0,
PL BEV charger LV 2045,PL,,BEV charger,,,LV,,2045,,FALSE,0.0,
PL BEV charger LV 2050,PL,,BEV charger,,,LV,,2050,,FALSE,0.0,
PL ICE vehicle ICE vehicle 2020,PL,,ICE vehicle,,ICE vehicle,,,2020,2020,TRUE,237870.0,
PL ICE vehicle ICE vehicle 2025,PL,,ICE vehicle,,ICE vehicle,,,2025,2025,TRUE,247910.0,
