name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL BEV BEV 2020,PL,,BEV,,BEV,,,2020,2020,TRUE,130.0,
PL BEV BEV 2021,PL,,BEV,,BEV,,,2021,2021,TRUE,220.0,
PL BEV BEV 2022,PL,,BEV,,BEV,,,2022,2022,TRUE,360.0,
PL BEV BEV 2023,PL,,BEV,,BEV,,,2023,2023,TRUE,360.0,
PL BEV V2G LV 2020,PL,,BEV V2G,,LV,,,2020,2020,TRUE,140.0,
PL BEV V2G LV 2021,PL,,BEV V2G,,LV,,,2021,2021,TRUE,240.0,
PL BEV V2G LV 2022,PL,,BEV V2G,,LV,,,2022,2022,TRUE,400.0,
PL BEV V2G LV 2023,PL,,BEV V2G,,LV,,,2023,2023,TRUE,400.0,
PL BEV battery 2020,PL,,BEV battery,,,,,2020,2020,TRUE,620.0,
PL BEV battery 2021,PL,,BEV battery,,,,,2021,2021,TRUE,1060.0,
PL BEV battery 2022,PL,,BEV battery,,,,,2022,2022,TRUE,1760.0,
PL BEV battery 2023,PL,,BEV battery,,,,,2023,2023,TRUE,1760.0,
PL BEV charger LV 2020,PL,,BEV charger,,,LV,,2020,2020,TRUE,130.0,
PL BEV charger LV 2021,PL,,BEV charger,,,LV,,2021,2021,TRUE,220.0,
PL BEV charger LV 2022,PL,,BEV charger,,,LV,,2022,2022,TRUE,360.0,
PL BEV charger LV 2023,PL,,BEV charger,,,LV,,2023,2023,TRUE,360.0,
PL ICE vehicle ICE vehicle new 2020,PL,,ICE vehicle,,ICE vehicle,,,2020,,TRUE,0.0,
PL ICE vehicle ICE vehicle new 2021,PL,,ICE vehicle,,ICE vehicle,,,2021,,TRUE,0.0,
PL ICE vehicle ICE vehicle new 2022,PL,,ICE vehicle,,ICE vehicle,,,2022,,TRUE,0.0,
PL ICE vehicle ICE vehicle new 2023,PL,,ICE vehicle,,ICE vehicle,,,2023,,TRUE,0.0,
PL ICE vehicle ICE vehicle 2020,PL,,ICE vehicle,,ICE vehicle,,,2020,2020,TRUE,237870.0,
PL ICE vehicle ICE vehicle 2021,PL,,ICE vehicle,,ICE vehicle,,,2021,2021,TRUE,242400.0,
PL ICE vehicle ICE vehicle 2022,PL,,ICE vehicle,,ICE vehicle,,,2022,2022,TRUE,243960.0,
PL ICE vehicle ICE vehicle 2023,PL,,ICE vehicle,,ICE vehicle,,,2023,2023,TRUE,243960.0,
PL ICE vehicle fuel supply 2020,PL,,ICE vehicle fuel supply,,,,,2020,2020,TRUE,inf,
PL ICE vehicle fuel supply 2021,PL,,ICE vehicle fuel supply,,,,,2021,2021,TRUE,inf,
PL ICE vehicle fuel supply 2022,PL,,ICE vehicle fuel supply,,,,,2022,2022,TRUE,inf,
PL ICE vehicle fuel supply 2023,PL,,ICE vehicle fuel supply,,,,,2023,2023,TRUE,inf,
PL ICE vehicle fuel supply 2024,PL,,ICE vehicle fuel supply,,,,,2024,2024,TRUE,inf,
PL battery large charger HMV 2021,PL,,battery large charger,,HMV,HMV,,2021,2021,TRUE,50.0,
PL battery large charger HMV 2022,PL,,battery large charger,,HMV,HMV,,2022,2022,TRUE,90.0,
