name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL dolnośląskie BEV BEV 2020,PL dolnośląskie,,BEV,,BEV,,,2020,2020,TRUE,9.8,
PL dolnośląskie BEV BEV 2023,PL dolnośląskie,,BEV,,BEV,,,2023,2023,TRUE,40.5,
PL dolnośląskie BEV BEV 2024,PL dolnośląskie,,BEV,,BEV,,,2024,2024,TRUE,40.5,
PL dolnośląskie BEV BEV 2025,PL dolnośląskie,,BEV,,BEV,,,2025,2025,TRUE,113.2,
PL dolnośląskie BEV V2G LV 2020,PL dolnośląskie,,BEV V2G,,LV,,,2020,2020,TRUE,10.5,
PL dolnośląskie BEV V2G LV 2023,PL dolnośląskie,,BEV V2G,,LV,,,2023,2023,TRUE,43.9,
PL dolnośląskie BEV V2G LV 2024,PL dolnośląskie,,BEV V2G,,LV,,,2024,2024,TRUE,43.9,
PL dolnośląskie BEV V2G LV 2025,PL dolnośląskie,,BEV V2G,,LV,,,2025,2025,TRUE,124.9,
PL dolnośląskie BEV battery 2020,PL dolnośląskie,,BEV battery,,,,,2020,2020,TRUE,46.6,
PL dolnośląskie BEV battery 2023,PL dolnośląskie,,BEV battery,,,,,2023,2023,TRUE,193.5,
PL dolnośląskie BEV battery 2024,PL dolnośląskie,,BEV battery,,,,,2024,2024,TRUE,193.5,
PL dolnośląskie BEV battery 2025,PL dolnośląskie,,BEV battery,,,,,2025,2025,TRUE,452.8,
PL dolnośląskie BEV charger LV 2020,PL dolnośląskie,,BEV charger,,,LV,,2020,2020,TRUE,9.8,
PL dolnośląskie BEV charger LV 2023,PL dolnośląskie,,BEV charger,,,LV,,2023,2023,TRUE,39.8,
PL dolnośląskie BEV charger LV 2024,PL dolnośląskie,,BEV charger,,,LV,,2024,2024,TRUE,39.8,
PL dolnośląskie BEV charger LV 2025,PL dolnośląskie,,BEV charger,,,LV,,2025,2025,TRUE,111.8,
PL dolnośląskie ICE vehicle ICE vehicle 2020,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2020,2020,TRUE,18314.2,
PL dolnośląskie ICE vehicle ICE vehicle 2023,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2023,2023,TRUE,19111.9,
PL dolnośląskie ICE vehicle ICE vehicle 2024,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2024,2024,TRUE,19111.9,
PL dolnośląskie ICE vehicle fuel supply 2020,PL dolnośląskie,,ICE vehicle fuel supply,,,,,2020,2020,TRUE,inf,
PL dolnośląskie ICE vehicle fuel supply 2023,PL dolnośląskie,,ICE vehicle fuel supply,,,,,2023,2023,TRUE,inf,
PL dolnośląskie ICE vehicle fuel supply 2024,PL dolnośląskie,,ICE vehicle fuel supply,,,,,2024,2024,TRUE,inf,
PL dolnośląskie battery large charger HMV 2023,PL dolnośląskie,,battery large charger,,HMV,HMV,,2023,2023,TRUE,10.6,
PL dolnośląskie battery large charger HMV 2024,PL dolnośląskie,,battery large charger,,HMV,HMV,,2024,2024,TRUE,13.6,
PL dolnośląskie battery large charger HMV 2025,PL dolnośląskie,,battery large charger,,HMV,HMV,,2025,2025,TRUE,17.3,
PL dolnośląskie battery large power HMV 2023,PL dolnośląskie,,battery large power,,HMV,HMV,,2023,2023,TRUE,11.3,
PL dolnośląskie battery large power HMV 2024,PL dolnośląskie,,battery large power,,HMV,HMV,,2024,2024,TRUE,15.1,
PL dolnośląskie battery large power HMV 2025,PL dolnośląskie,,battery large power,,HMV,HMV,,2025,2025,TRUE,18.8,
PL dolnośląskie battery large storage HMV 2023,PL dolnośląskie,,battery large storage,,HMV,,,2023,2023,TRUE,45.2,
PL dolnośląskie battery large storage HMV 2024,PL dolnośląskie,,battery large storage,,HMV,,,2024,2024,TRUE,60.3,
PL dolnośląskie battery large storage HMV 2025,PL dolnośląskie,,battery large storage,,HMV,,,2025,2025,TRUE,75.4,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2020,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2020,2020,TRUE,0.5,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2023,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2023,2023,TRUE,0.5,
PL dolnośląskie biogas CHP industrial HMV biomass and biogas 2024,PL dolnośląskie,,biogas CHP,industrial,HMV,,biomass and biogas,2024,2024,TRUE,0.5,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2020,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2020,2020,TRUE,14.5,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2023,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2023,2023,TRUE,15.9,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2024,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2024,2024,TRUE,15.7,
PL dolnośląskie biogas CHP public HMV biomass and biogas 2025,PL dolnośląskie,,biogas CHP,public,HMV,,biomass and biogas,2025,2025,TRUE,19.3,
PL dolnośląskie biogas production industrial 2020,PL dolnośląskie,,biogas production,industrial,,,,2020,2020,TRUE,1.2,
PL dolnośląskie biogas production industrial 2023,PL dolnośląskie,,biogas production,industrial,,,,2023,2023,TRUE,1.4,
PL dolnośląskie biogas production industrial 2024,PL dolnośląskie,,biogas production,industrial,,,,2024,2024,TRUE,1.4,
PL dolnośląskie biogas production public 2020,PL dolnośląskie,,biogas production,public,,,,2020,2020,TRUE,35.4,
PL dolnośląskie biogas production public 2023,PL dolnośląskie,,biogas production,public,,,,2023,2023,TRUE,39.4,
PL dolnośląskie biogas production public 2024,PL dolnośląskie,,biogas production,public,,,,2024,2024,TRUE,38.5,
PL dolnośląskie biogas production public 2025,PL dolnośląskie,,biogas production,public,,,,2025,2025,TRUE,47.1,
PL dolnośląskie biogas substrate supply 2020,PL dolnośląskie,,biogas substrate supply,,,,,2020,2020,TRUE,inf,
PL dolnośląskie biogas substrate supply 2023,PL dolnośląskie,,biogas substrate supply,,,,,2023,2023,TRUE,inf,
PL dolnośląskie biogas substrate supply 2024,PL dolnośląskie,,biogas substrate supply,,,,,2024,2024,TRUE,inf,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2020,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2020,2020,TRUE,1.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2023,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2023,2023,TRUE,1.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2024,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2024,2024,TRUE,1.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2025,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2025,2025,TRUE,1.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2030,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2030,2030,TRUE,1.2,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2035,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2035,2035,TRUE,0.8,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2040,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2040,2040,TRUE,0.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2045,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2045,2045,TRUE,0.2,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2020,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2020,2020,TRUE,21.5,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2023,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2023,2023,TRUE,24.0,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2024,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2024,2024,TRUE,22.9,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2025,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2025,2025,TRUE,22.9,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2030,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2030,2030,TRUE,17.6,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2035,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2035,2035,TRUE,15.0,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2040,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2040,2040,TRUE,14.1,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2045,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2045,2045,TRUE,1.8,
PL dolnośląskie biomass wood boiler biomass 2020,PL dolnośląskie,,biomass wood boiler,,biomass,,,2020,2020,TRUE,1821.2,
PL dolnośląskie biomass wood boiler biomass 2023,PL dolnośląskie,,biomass wood boiler,,biomass,,,2023,2023,TRUE,1641.1,
PL dolnośląskie biomass wood boiler biomass 2024,PL dolnośląskie,,biomass wood boiler,,biomass,,,2024,2024,TRUE,1641.1,
PL dolnośląskie biomass wood final use 2020,PL dolnośląskie,,biomass wood final use,,,,,2020,2020,TRUE,inf,
PL dolnośląskie biomass wood final use 2025,PL dolnośląskie,,biomass wood final use,,,,,2025,2025,TRUE,inf,
PL dolnośląskie biomass wood final use 2030,PL dolnośląskie,,biomass wood final use,,,,,2030,2030,TRUE,inf,
PL dolnośląskie biomass wood final use 2035,PL dolnośląskie,,biomass wood final use,,,,,2035,2035,TRUE,inf,
PL dolnośląskie biomass wood final use 2040,PL dolnośląskie,,biomass wood final use,,,,,2040,2040,TRUE,inf,
PL dolnośląskie biomass wood final use 2045,PL dolnośląskie,,biomass wood final use,,,,,2045,2045,TRUE,inf,
PL dolnośląskie biomass wood final use 2050,PL dolnośląskie,,biomass wood final use,,,,,2050,2050,TRUE,inf,
PL dolnośląskie biomass wood heat biomass and biogas 2020,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2020,2020,TRUE,14.0,
PL dolnośląskie biomass wood heat biomass and biogas 2023,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2023,2023,TRUE,22.4,
PL dolnośląskie biomass wood heat biomass and biogas 2024,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2024,2024,TRUE,22.4,
PL dolnośląskie biomass wood supply 2020,PL dolnośląskie,,biomass wood supply,,,,,2020,2020,TRUE,inf,
PL dolnośląskie biomass wood supply 2023,PL dolnośląskie,,biomass wood supply,,,,,2023,2023,TRUE,inf,
PL dolnośląskie biomass wood supply 2024,PL dolnośląskie,,biomass wood supply,,,,,2024,2024,TRUE,inf,
PL dolnośląskie building retrofits heat centralised 2025,PL dolnośląskie,,building retrofits,heat centralised,,,,2025,2025,TRUE,31.7,
PL dolnośląskie building retrofits heat centralised 2030,PL dolnośląskie,,building retrofits,heat centralised,,,,2030,2030,TRUE,63.4,
