name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL dolnośląskie BEV BEV 2020,PL dolnośląskie,,BEV,,BEV,,,2020,,FALSE,9.8,
PL dolnośląskie BEV BEV 2025,PL dolnośląskie,,BEV,,BEV,,,2025,,FALSE,99.6,
PL dolnośląskie BEV BEV 2030,PL dolnośląskie,,BEV,,BEV,,,2030,,FALSE,507.1,
PL dolnośląskie BEV BEV 2035,PL dolnośląskie,,BEV,,BEV,,,2035,,FALSE,1346.4,
PL dolnośląskie BEV BEV 2040,PL dolnośląskie,,BEV,,BEV,,,2040,,FALSE,4081.5,
PL dolnośląskie BEV BEV 2045,PL dolnośląskie,,BEV,,BEV,,,2045,,FALSE,0.0,
PL dolnośląskie BEV BEV 2050,PL dolnośląskie,,BEV,,BEV,,,2050,,FALSE,0.0,
PL dolnośląskie BEV V2G LV 2020,PL dolnośląskie,,BEV V2G,,LV,,,2020,,FALSE,10.5,
PL dolnośląskie BEV V2G LV 2025,PL dolnośląskie,,BEV V2G,,LV,,,2025,,FALSE,110.0,
PL dolnośląskie BEV V2G LV 2030,PL dolnośląskie,,BEV V2G,,LV,,,2030,,FALSE,0.0,
PL dolnośląskie BEV V2G LV 2035,PL dolnośląskie,,BEV V2G,,LV,,,2035,,FALSE,0.0,
PL dolnośląskie BEV V2G LV 2040,PL dolnośląskie,,BEV V2G,,LV,,,2040,,FALSE,0.0,
PL dolnośląskie BEV V2G LV 2045,PL dolnośląskie,,BEV V2G,,LV,,,2045,,FALSE,0.0,
PL dolnośląskie BEV V2G LV 2050,PL dolnośląskie,,BEV V2G,,LV,,,2050,,FALSE,0.0,
PL dolnośląskie BEV battery 2020,PL dolnośląskie,,BEV battery,,,,,2020,,FALSE,46.6,
PL dolnośląskie BEV battery 2025,PL dolnośląskie,,BEV battery,,,,,2025,,FALSE,391.7,
PL dolnośląskie BEV battery 2030,PL dolnośląskie,,BEV battery,,,,,2030,,FALSE,2231.3,
PL dolnośląskie BEV battery 2035,PL dolnośląskie,,BEV battery,,,,,2035,,FALSE,5924.3,
PL dolnośląskie BEV battery 2040,PL dolnośląskie,,BEV battery,,,,,2040,,FALSE,17958.6,
PL dolnośląskie BEV battery 2045,PL dolnośląskie,,BEV battery,,,,,2045,,FALSE,0.0,
PL dolnośląskie BEV battery 2050,PL dolnośląskie,,BEV battery,,,,,2050,,FALSE,0.0,
PL dolnośląskie BEV charger LV 2020,PL dolnośląskie,,BEV charger,,,LV,,2020,,FALSE,9.8,
PL dolnośląskie BEV charger LV 2025,PL dolnośląskie,,BEV charger,,,LV,,2025,,FALSE,98.2,
PL dolnośląskie BEV charger LV 2030,PL dolnośląskie,,BEV charger,,,LV,,2030,,FALSE,502.0,
PL dolnośląskie BEV charger LV 2035,PL dolnośląskie,,BEV charger,,,LV,,2035,,FALSE,1333.0,
PL dolnośląskie BEV charger LV 2040,PL dolnośląskie,,BEV charger,,,LV,,2040,,FALSE,4040.7,
PL dolnośląskie BEV charger LV 2045,PL dolnośląskie,,BEV charger,,,LV,,2045,,FALSE,0.0,
PL dolnośląskie BEV charger LV 2050,PL dolnośląskie,,BEV charger,,,LV,,2050,,FALSE,0.0,
PL dolnośląskie ICE vehicle ICE vehicle 2020,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2020,2020,TRUE,18314.2,
PL dolnośląskie ICE vehicle ICE vehicle 2025,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2025,2025,TRUE,19111.9,
PL dolnośląskie ICE vehicle ICE vehicle 2030,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2030,2030,TRUE,14333.8,
PL dolnośląskie ICE vehicle ICE vehicle 2035,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2035,2035,TRUE,9556.4,
PL dolnośląskie ICE vehicle ICE vehicle 2040,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2040,2040,TRUE,4778.2,
PL dolnośląskie ICE vehicle ICE vehicle new 2020,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2020,,FALSE,0.0,
PL dolnośląskie ICE vehicle ICE vehicle new 2025,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2025,,FALSE,561.8,
PL dolnośląskie ICE vehicle ICE vehicle new 2030,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2030,,FALSE,6010.1,
PL dolnośląskie ICE vehicle ICE vehicle new 2035,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2035,,FALSE,3757.1,
PL dolnośląskie ICE vehicle ICE vehicle new 2040,PL dolnośląskie,,ICE vehicle,,ICE vehicle,,,2040,,FALSE,0.0,
