name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
CZ PL electricity export AC EHV 2020,CZ,PL,electricity export AC,,,EHV,,2020,2020,TRUE,2330,
CZ PL electricity export AC EHV 2021,CZ,PL,electricity export AC,,,EHV,,2021,2021,TRUE,2330,
CZ PL electricity export AC EHV 2022,CZ,PL,electricity export AC,,,EHV,,2022,2022,TRUE,2330,
CZ PL electricity export AC EHV 2023,CZ,PL,electricity export AC,,,EHV,,2023,2023,TRUE,2330,
CZ PL electricity export AC EHV 2025,CZ,PL,electricity export AC,,,EHV,,2025,2025,TRUE,2330,
CZ PL electricity export AC EHV 2030,CZ,PL,electricity export AC,,,EHV,,2030,2030,TRUE,2330,
CZ PL electricity export AC EHV 2035,CZ,PL,electricity export AC,,,EHV,,2035,2035,TRUE,2330,
CZ PL electricity export AC EHV 2040,CZ,PL,electricity export AC,,,EHV,,2040,2040,TRUE,2330,
CZ PL electricity export AC EHV 2045,CZ,PL,electricity export AC,,,EHV,,2045,2045,TRUE,2330,
CZ PL electricity export AC EHV 2050,CZ,PL,electricity export AC,,,EHV,,2050,2050,TRUE,2330,
DE PL electricity export AC EHV 2020,DE,PL,electricity export AC,,,EHV,,2020,2020,TRUE,2280,
DE PL electricity export AC EHV 2021,DE,PL,electricity export AC,,,EHV,,2021,2021,TRUE,2280,
DE PL electricity export AC EHV 2022,DE,PL,electricity export AC,,,EHV,,2022,2022,TRUE,2280,
DE PL electricity export AC EHV 2023,DE,PL,electricity export AC,,,EHV,,2023,2023,TRUE,2280,
DE PL electricity export AC EHV 2025,DE,PL,electricity export AC,,,EHV,,2025,2025,TRUE,2280,
DE PL electricity export AC EHV 2030,DE,PL,electricity export AC,,,EHV,,2030,2030,TRUE,3040,
DE PL electricity export AC EHV 2035,DE,PL,electricity export AC,,,EHV,,2035,2035,TRUE,3040,
DE PL electricity export AC EHV 2040,DE,PL,electricity export AC,,,EHV,,2040,2040,TRUE,3040,
DE PL electricity export AC EHV 2045,DE,PL,electricity export AC,,,EHV,,2045,2045,TRUE,3040,
DE PL electricity export AC EHV 2050,DE,PL,electricity export AC,,,EHV,,2050,2050,TRUE,3040,
LT PL electricity export AC EHV 2025,LT,PL,electricity export AC,,,EHV,,2025,2025,TRUE,1000,
LT PL electricity export AC EHV 2030,LT,PL,electricity export AC,,,EHV,,2030,2030,TRUE,1000,
LT PL electricity export AC EHV 2035,LT,PL,electricity export AC,,,EHV,,2035,2035,TRUE,1700,
LT PL electricity export AC EHV 2040,LT,PL,electricity export AC,,,EHV,,2040,2040,TRUE,1700,
LT PL electricity export AC EHV 2045,LT,PL,electricity export AC,,,EHV,,2045,2045,TRUE,1700,
LT PL electricity export AC EHV 2050,LT,PL,electricity export AC,,,EHV,,2050,2050,TRUE,1700,
LT PL electricity export DC EHV 2020,LT,PL,electricity export DC,,,EHV,,2020,2020,TRUE,500,
LT PL electricity export DC EHV 2021,LT,PL,electricity export DC,,,EHV,,2021,2021,TRUE,500,
