name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL dolnośląskie PL lubuskie transmission line AC EHV 2020,PL dolnośląskie,PL lubuskie,transmission line AC,,EHV,EHV,,2020,,FALSE,684,196.6
PL dolnośląskie PL opolskie transmission line AC EHV 2020,PL dolnośląskie,PL opolskie,transmission line AC,,EHV,EHV,,2020,,FALSE,3720,178.1
PL dolnośląskie PL wielkopolskie transmission line AC EHV 2020,PL dolnośląskie,PL wielkopolskie,transmission line AC,,EHV,EHV,,2020,,FALSE,1917,189.3
PL kujawsko-pomorskie PL mazowieckie transmission line AC EHV 2020,PL kujawsko-pomorskie,PL mazowieckie,transmission line AC,,EHV,EHV,,2020,,FALSE,1238,268.6
PL kujawsko-pomorskie PL pomorskie transmission line AC EHV 2020,PL kujawsko-pomorskie,PL pomorskie,transmission line AC,,EHV,EHV,,2020,,FALSE,5027,166.5
PL kujawsko-pomorskie PL warmińsko-mazurskie transmission line AC EHV 2020,PL kujawsko-pomorskie,PL warmińsko-mazurskie,transmission line AC,,EHV,EHV,,2020,,FALSE,231,254.0
PL kujawsko-pomorskie PL wielkopolskie transmission line AC EHV 2020,PL kujawsko-pomorskie,PL wielkopolskie,transmission line AC,,EHV,EHV,,2020,,FALSE,3645,168.6
PL łódzkie PL śląskie transmission line AC EHV 2020,PL łódzkie,PL śląskie,transmission line AC,,EHV,EHV,,2020,,FALSE,3963,152.4
PL lubelskie PL mazowieckie transmission line AC EHV 2020,PL lubelskie,PL mazowieckie,transmission line AC,,EHV,EHV,,2020,,FALSE,1606,232.3
PL lubelskie PL podkarpackie transmission line AC EHV 2020,PL lubelskie,PL podkarpackie,transmission line AC,,EHV,EHV,,2020,,FALSE,305,189.3
PL lubuskie PL zachodniopomorskie transmission line AC EHV 2020,PL lubuskie,PL zachodniopomorskie,transmission line AC,,EHV,EHV,,2020,,FALSE,271,189.2
PL małopolskie PL podkarpackie transmission line AC EHV 2020,PL małopolskie,PL podkarpackie,transmission line AC,,EHV,EHV,,2020,,FALSE,2970,155.6
PL małopolskie PL śląskie transmission line AC EHV 2020,PL małopolskie,PL śląskie,transmission line AC,,EHV,EHV,,2020,,FALSE,4188,112.3
PL małopolskie PL świętokrzyskie transmission line AC EHV 2020,PL małopolskie,PL świętokrzyskie,transmission line AC,,EHV,EHV,,2020,,FALSE,1429,130.0
PL mazowieckie PL łódzkie transmission line AC EHV 2020,PL mazowieckie,PL łódzkie,transmission line AC,,EHV,EHV,,2020,,FALSE,2815,213.8
PL mazowieckie PL podlaskie transmission line AC EHV 2020,PL mazowieckie,PL podlaskie,transmission line AC,,EHV,EHV,,2020,,FALSE,4256,169.5
PL mazowieckie PL świętokrzyskie transmission line AC EHV 2020,PL mazowieckie,PL świętokrzyskie,transmission line AC,,EHV,EHV,,2020,,FALSE,1269,221.4
PL mazowieckie PL warmińsko-mazurskie transmission line AC EHV 2020,PL mazowieckie,PL warmińsko-mazurskie,transmission line AC,,EHV,EHV,,2020,,FALSE,2238,218.0
PL mazowieckie PL wielkopolskie transmission line AC EHV 2020,PL mazowieckie,PL wielkopolskie,transmission line AC,,EHV,EHV,,2020,,FALSE,542,324.1
PL opolskie PL łódzkie transmission line AC EHV 2020,PL opolskie,PL łódzkie,transmission line AC,,EHV,EHV,,2020,,FALSE,840,158.3
PL opolskie PL śląskie transmission line AC EHV 2020,PL opolskie,PL śląskie,transmission line AC,,EHV,EHV,,2020,,FALSE,2240,107.9
PL podkarpackie PL świętokrzyskie transmission line AC EHV 2020,PL podkarpackie,PL świętokrzyskie,transmission line AC,,EHV,EHV,,2020,,FALSE,1657,131.0
PL podlaskie PL warmińsko-mazurskie transmission line AC EHV 2020,PL podlaskie,PL warmińsko-mazurskie,transmission line AC,,EHV,EHV,,2020,,FALSE,3471,156.6
PL pomorskie PL warmińsko-mazurskie transmission line AC EHV 2020,PL pomorskie,PL warmińsko-mazurskie,transmission line AC,,EHV,EHV,,2020,,FALSE,784,270.5
PL pomorskie PL zachodniopomorskie transmission line AC EHV 2020,PL pomorskie,PL zachodniopomorskie,transmission line AC,,EHV,EHV,,2020,,FALSE,4905,256.2
PL śląskie PL świętokrzyskie transmission line AC EHV 2020,PL śląskie,PL świętokrzyskie,transmission line AC,,EHV,EHV,,2020,,FALSE,516,185.2
PL wielkopolskie PL łódzkie transmission line AC EHV 2020,PL wielkopolskie,PL łódzkie,transmission line AC,,EHV,EHV,,2020,,FALSE,3332,200.2
PL wielkopolskie PL zachodniopomorskie transmission line AC EHV 2020,PL wielkopolskie,PL zachodniopomorskie,transmission line AC,,EHV,EHV,,2020,,FALSE,3001,276.5
