technology,parameter,technology_year,value
battery large charger,efficiency,2015,0.9
battery large charger,efficiency,2020,0.9
battery large charger,efficiency,2025,0.9
battery large charger,efficiency,2030,0.9
battery large charger,efficiency,2035,0.9
battery large charger,efficiency,2040,0.9
battery large charger,efficiency,2045,0.9
battery large charger,efficiency,2050,0.9
battery large charger,lifetime,2015,20
battery large charger,lifetime,2020,20
battery large charger,lifetime,2025,20
battery large charger,lifetime,2030,20
battery large charger,lifetime,2035,20
battery large charger,lifetime,2040,20
battery large charger,lifetime,2045,20
battery large charger,lifetime,2050,20
battery large charger,parent_ratio,2015,0.9
battery large charger,parent_ratio,2020,0.9
battery large charger,parent_ratio,2025,0.9
battery large charger,parent_ratio,2030,0.9
battery large charger,parent_ratio,2035,0.9
battery large charger,parent_ratio,2040,0.9
battery large charger,parent_ratio,2045,0.9
battery large charger,parent_ratio,2050,0.9
battery large power,efficiency,2015,1
battery large power,efficiency,2020,1
battery large power,efficiency,2025,1
battery large power,efficiency,2030,1
battery large power,efficiency,2035,1
battery large power,efficiency,2040,1
battery large power,efficiency,2045,1
battery large power,efficiency,2050,1
battery large power,fixed_cost,2015,3500
battery large power,fixed_cost,2020,3500
battery large power,fixed_cost,2025,3500
battery large power,fixed_cost,2030,3500
battery large power,fixed_cost,2035,3500
battery large power,fixed_cost,2040,3500
battery large power,fixed_cost,2045,3500
battery large power,fixed_cost,2050,3500
battery large power,investment_cost,2015,1900000
battery large power,investment_cost,2020,1800000
battery large power,investment_cost,2025,1400000
battery large power,investment_cost,2030,1000000
battery large power,investment_cost,2035,850000
battery large power,investment_cost,2040,650000
battery large power,investment_cost,2045,520000
battery large power,investment_cost,2050,390000
battery large power,lifetime,2015,20
battery large power,lifetime,2020,20
battery large power,lifetime,2025,20
battery large power,lifetime,2030,20
battery large power,lifetime,2035,20
battery large power,lifetime,2040,20
battery large power,lifetime,2045,20
battery large power,lifetime,2050,20
battery large power,p_max_pu_annual,2015,0.99
battery large power,p_max_pu_annual,2020,0.99
battery large power,p_max_pu_annual,2025,0.99
battery large power,p_max_pu_annual,2030,0.99
battery large power,p_max_pu_annual,2035,0.99
battery large power,p_max_pu_annual,2040,0.99
battery large power,p_max_pu_annual,2045,0.99
battery large power,p_max_pu_annual,2050,0.99
battery large power,variable_cost,2015,13
battery large power,variable_cost,2020,13
battery large power,variable_cost,2025,13
battery large power,variable_cost,2030,13
battery large power,variable_cost,2035,13
battery large power,variable_cost,2040,13
battery large power,variable_cost,2045,13
battery large power,variable_cost,2050,13
battery large storage,investment_cost,2015,2700000
battery large storage,investment_cost,2020,1500000
battery large storage,investment_cost,2025,1200000
battery large storage,investment_cost,2030,930000
battery large storage,investment_cost,2035,770000
battery large storage,investment_cost,2040,620000
battery large storage,investment_cost,2045,550000
battery large storage,investment_cost,2050,490000
battery large storage,lifetime,2015,20
battery large storage,lifetime,2020,20
battery large storage,lifetime,2025,20
battery large storage,lifetime,2030,20
battery large storage,lifetime,2035,20
battery large storage,lifetime,2040,20
battery large storage,lifetime,2045,20
battery large storage,lifetime,2050,20
battery small charger,efficiency,2015,0.9
battery small charger,efficiency,2020,0.9
battery small charger,efficiency,2025,0.9
battery small charger,efficiency,2030,0.9
battery small charger,efficiency,2035,0.9
battery small charger,efficiency,2040,0.9
battery small charger,efficiency,2045,0.9
battery small charger,efficiency,2050,0.9
battery small charger,lifetime,2015,20
battery small charger,lifetime,2020,20
battery small charger,lifetime,2025,20
battery small charger,lifetime,2030,20
battery small charger,lifetime,2035,20
battery small charger,lifetime,2040,20
battery small charger,lifetime,2045,20
battery small charger,lifetime,2050,20
battery small charger,parent_ratio,2015,0.9
battery small charger,parent_ratio,2020,0.9
battery small charger,parent_ratio,2025,0.9
battery small charger,parent_ratio,2030,0.9
battery small charger,parent_ratio,2035,0.9
battery small charger,parent_ratio,2040,0.9
battery small charger,parent_ratio,2045,0.9
battery small charger,parent_ratio,2050,0.9
battery small power,efficiency,2015,1
