hour,DE,LT,PL,PL pomorskie,PL zachodniopomorskie,SE
2015-01-01 00:00:00,0.935,0.799,0.931,0.931,0.965,0.66
2015-01-01 01:00:00,0.933,0.833,0.957,0.957,0.969,0.649
2015-01-01 02:00:00,0.938,0.891,0.962,0.962,0.959,0.649
2015-01-01 03:00:00,0.941,0.939,0.957,0.957,0.949,0.655
2015-01-01 04:00:00,0.946,0.944,0.977,0.977,0.965,0.655
2015-01-01 05:00:00,0.946,0.935,0.991,0.991,0.973,0.658
2015-01-01 06:00:00,0.948,0.946,0.996,0.996,0.992,0.688
2015-01-01 07:00:00,0.947,0.95,0.999,0.999,0.965,0.673
2015-01-01 08:00:00,0.945,0.95,0.997,0.997,0.958,0.702
2015-01-01 09:00:00,0.949,0.95,0.999,0.999,0.987,0.734
2015-01-01 10:00:00,0.949,0.95,0.999,0.999,0.984,0.755
2015-01-01 11:00:00,0.949,0.95,1.0,1.0,0.986,0.766
2015-01-01 12:00:00,0.949,0.95,1.0,1.0,0.97,0.811
2015-01-01 13:00:00,0.949,0.95,1.0,1.0,0.981,0.844
2015-01-01 14:00:00,0.949,0.95,1.0,1.0,0.969,0.872
2015-01-01 15:00:00,0.949,0.95,1.0,1.0,0.978,0.891
2015-01-01 16:00:00,0.949,0.95,1.0,1.0,0.953,0.9
2015-01-01 17:00:00,0.948,0.95,0.999,0.999,0.921,0.885
2015-01-01 18:00:00,0.947,0.95,0.999,0.999,0.954,0.904
2015-01-01 19:00:00,0.946,0.95,1.0,1.0,0.978,0.924
2015-01-01 20:00:00,0.945,0.95,1.0,1.0,0.987,0.907
2015-01-01 21:00:00,0.938,0.95,0.999,0.999,0.991,0.864
2015-01-01 22:00:00,0.931,0.95,0.999,0.999,0.994,0.827
2015-01-01 23:00:00,0.928,0.95,0.999,0.999,0.998,0.88
2015-01-02 00:00:00,0.905,0.95,1.0,1.0,0.998,0.926
2015-01-02 01:00:00,0.879,0.95,1.0,1.0,1.0,0.933
2015-01-02 02:00:00,0.874,0.95,1.0,1.0,1.0,0.942
2015-01-02 03:00:00,0.878,0.95,1.0,1.0,1.0,0.948
2015-01-02 04:00:00,0.871,0.95,0.998,0.998,1.0,0.949
2015-01-02 05:00:00,0.905,0.95,0.99,0.99,0.999,0.949
2015-01-02 06:00:00,0.923,0.95,0.912,0.912,0.994,0.947
2015-01-02 07:00:00,0.905,0.949,0.69,0.69,0.975,0.944
2015-01-02 08:00:00,0.904,0.947,0.451,0.451,0.96,0.938
2015-01-02 09:00:00,0.938,0.935,0.565,0.565,0.897,0.921
2015-01-02 10:00:00,0.949,0.921,0.501,0.501,0.959,0.89
2015-01-02 11:00:00,0.925,0.903,0.279,0.279,0.967,0.868
2015-01-02 12:00:00,0.933,0.845,0.25,0.25,0.72,0.875
2015-01-02 13:00:00,0.943,0.801,0.125,0.125,0.82,0.898
2015-01-02 14:00:00,0.948,0.776,0.273,0.273,0.876,0.895
2015-01-02 15:00:00,0.946,0.845,0.51,0.51,0.94,0.922
2015-01-02 16:00:00,0.937,0.837,0.448,0.448,0.935,0.926
2015-01-02 17:00:00,0.937,0.797,0.481,0.481,0.892,0.926
2015-01-02 18:00:00,0.947,0.858,0.516,0.516,0.921,0.936
2015-01-02 19:00:00,0.948,0.886,0.574,0.574,0.901,0.936
2015-01-02 20:00:00,0.949,0.922,0.534,0.534,0.811,0.936
2015-01-02 21:00:00,0.938,0.928,0.665,0.665,0.952,0.947
2015-01-02 22:00:00,0.947,0.931,0.886,0.886,0.979,0.949
2015-01-02 23:00:00,0.946,0.943,0.7,0.7,0.966,0.949
2015-01-03 00:00:00,0.941,0.946,0.347,0.347,0.846,0.934
2015-01-03 01:00:00,0.936,0.942,0.469,0.469,0.885,0.914
2015-01-03 02:00:00,0.949,0.909,0.378,0.378,0.728,0.937
2015-01-03 03:00:00,0.95,0.906,0.483,0.483,0.873,0.932
2015-01-03 04:00:00,0.947,0.903,0.681,0.681,0.951,0.929
2015-01-03 05:00:00,0.938,0.925,0.685,0.685,0.996,0.938
2015-01-03 06:00:00,0.947,0.94,0.402,0.402,0.994,0.942
2015-01-03 07:00:00,0.95,0.94,0.576,0.576,0.999,0.946
2015-01-03 08:00:00,0.95,0.934,0.533,0.533,0.995,0.949
2015-01-03 09:00:00,0.95,0.936,0.781,0.781,0.982,0.95
2015-01-03 10:00:00,0.95,0.942,0.93,0.93,0.996,0.949
2015-01-03 11:00:00,0.95,0.95,0.986,0.986,0.993,0.943
2015-01-03 12:00:00,0.949,0.95,0.995,0.995,0.999,0.924
2015-01-03 13:00:00,0.943,0.95,0.998,0.998,1.0,0.913
2015-01-03 14:00:00,0.929,0.95,0.999,0.999,1.0,0.907
2015-01-03 15:00:00,0.919,0.95,1.0,1.0,1.0,0.9
2015-01-03 16:00:00,0.911,0.95,1.0,1.0,1.0,0.91
2015-01-03 17:00:00,0.912,0.95,1.0,1.0,1.0,0.916
2015-01-03 18:00:00,0.93,0.95,1.0,1.0,1.0,0.919
2015-01-03 19:00:00,0.94,0.95,1.0,1.0,1.0,0.921
2015-01-03 20:00:00,0.947,0.95,1.0,1.0,1.0,0.918
2015-01-03 21:00:00,0.949,0.95,1.0,1.0,0.999,0.913
2015-01-03 22:00:00,0.949,0.948,1.0,1.0,0.999,0.907
2015-01-03 23:00:00,0.949,0.947,0.999,0.999,0.999,0.912
2015-01-04 00:00:00,0.949,0.949,0.997,0.997,0.999,0.903
2015-01-04 01:00:00,0.948,0.95,0.997,0.997,0.999,0.907
2015-01-04 02:00:00,0.946,0.95,0.998,0.998,0.999,0.921
2015-01-04 03:00:00,0.945,0.95,0.999,0.999,0.999,0.92
2015-01-04 04:00:00,0.942,0.95,0.999,0.999,0.996,0.919
2015-01-04 05:00:00,0.939,0.95,0.999,0.999,0.999,0.935
2015-01-04 06:00:00,0.937,0.95,0.999,0.999,1.0,0.939
2015-01-04 07:00:00,0.941,0.95,1.0,1.0,1.0,0.933
2015-01-04 08:00:00,0.939,0.95,1.0,1.0,1.0,0.933
2015-01-04 09:00:00,0.938,0.95,1.0,1.0,0.999,0.936
2015-01-04 10:00:00,0.943,0.95,1.0,1.0,1.0,0.938
2015-01-04 11:00:00,0.927,0.95,1.0,1.0,1.0,0.926
2015-01-04 12:00:00,0.936,0.95,1.0,1.0,1.0,0.936
2015-01-04 13:00:00,0.928,0.95,1.0,1.0,1.0,0.911
2015-01-04 14:00:00,0.911,0.95,1.0,1.0,0.999,0.899
2015-01-04 15:00:00,0.865,0.95,1.0,1.0,0.997,0.888
2015-01-04 16:00:00,0.829,0.95,1.0,1.0,0.997,0.873
2015-01-04 17:00:00,0.783,0.95,1.0,1.0,0.996,0.873
2015-01-04 18:00:00,0.774,0.95,1.0,1.0,0.998,0.875
2015-01-04 19:00:00,0.798,0.95,0.999,0.999,0.999,0.87
2015-01-04 20:00:00,0.811,0.95,0.999,0.999,0.996,0.865
2015-01-04 21:00:00,0.851,0.95,0.997,0.997,0.987,0.868
2015-01-04 22:00:00,0.883,0.95,0.991,0.991,0.983,0.856
2015-01-04 23:00:00,0.91,0.95,0.971,0.971,0.981,0.839
2015-01-05 00:00:00,0.919,0.95,0.949,0.949,0.961,0.824
2015-01-05 01:00:00,0.901,0.95,0.899,0.899,0.948,0.784
2015-01-05 02:00:00,0.871,0.95,0.856,0.856,0.922,0.715
2015-01-05 03:00:00,0.836,0.949,0.826,0.826,0.887,0.665
2015-01-05 04:00:00,0.812,0.95,0.802,0.802,0.898,0.615
2015-01-05 05:00:00,0.775,0.95,0.801,0.801,0.824,0.587
2015-01-05 06:00:00,0.697,0.95,0.816,0.816,0.667,0.566
2015-01-05 07:00:00,0.538,0.95,0.797,0.797,0.531,0.548
2015-01-05 08:00:00,0.427,0.95,0.796,0.796,0.486,0.533
2015-01-05 09:00:00,0.374,0.95,0.832,0.832,0.538,0.527
2015-01-05 10:00:00,0.359,0.95,0.827,0.827,0.434,0.527
2015-01-05 11:00:00,0.378,0.95,0.803,0.803,0.374,0.497
2015-01-05 12:00:00,0.435,0.95,0.739,0.739,0.311,0.433
2015-01-05 13:00:00,0.458,0.95,0.757,0.757,0.303,0.407
2015-01-05 14:00:00,0.395,0.95,0.789,0.789,0.28,0.418
2015-01-05 15:00:00,0.285,0.946,0.774,0.774,0.258,0.403
2015-01-05 16:00:00,0.188,0.928,0.749,0.749,0.221,0.367
2015-01-05 17:00:00,0.159,0.904,0.734,0.734,0.193,0.344
2015-01-05 18:00:00,0.146,0.857,0.66,0.66,0.149,0.326
2015-01-05 19:00:00,0.152,0.789,0.518,0.518,0.096,0.284
2015-01-05 20:00:00,0.141,0.719,0.376,0.376,0.061,0.226
2015-01-05 21:00:00,0.108,0.624,0.288,0.288,0.04,0.19
2015-01-05 22:00:00,0.094,0.502,0.186,0.186,0.031,0.171
2015-01-05 23:00:00,0.134,0.373,0.145,0.145,0.024,0.149
2015-01-06 00:00:00,0.182,0.265,0.115,0.115,0.018,0.137
2015-01-06 01:00:00,0.196,0.207,0.073,0.073,0.02,0.139
2015-01-06 02:00:00,0.199,0.173,0.054,0.054,0.022,0.137
2015-01-06 03:00:00,0.196,0.149,0.055,0.055,0.028,0.144
2015-01-06 04:00:00,0.231,0.12,0.057,0.057,0.038,0.167
2015-01-06 05:00:00,0.287,0.1,0.052,0.052,0.059,0.188
2015-01-06 06:00:00,0.408,0.094,0.046,0.046,0.102,0.208
2015-01-06 07:00:00,0.542,0.088,0.053,0.053,0.165,0.238
2015-01-06 08:00:00,0.611,0.074,0.087,0.087,0.206,0.291
2015-01-06 09:00:00,0.687,0.062,0.115,0.115,0.244,0.339
2015-01-06 10:00:00,0.725,0.061,0.157,0.157,0.287,0.369
2015-01-06 11:00:00,0.741,0.157,0.149,0.149,0.318,0.417
2015-01-06 12:00:00,0.755,0.134,0.13,0.13,0.32,0.44
2015-01-06 13:00:00,0.761,0.091,0.116,0.116,0.32,0.428
2015-01-06 14:00:00,0.767,0.066,0.128,0.128,0.352,0.435
