hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2013-01-01 00:00:00,0.806,0.723,0.691,0.616,0.854,0.795,0.507,0.602,0.784,0.838,0.659,0.914,0.921,0.598,0.75,0.701,0.937
2013-01-01 01:00:00,0.808,0.677,0.7,0.613,0.821,0.823,0.465,0.605,0.809,0.834,0.648,0.922,0.941,0.593,0.757,0.706,0.93
2013-01-01 02:00:00,0.806,0.669,0.694,0.644,0.799,0.855,0.471,0.632,0.826,0.86,0.703,0.903,0.959,0.616,0.76,0.701,0.909
2013-01-01 03:00:00,0.812,0.714,0.714,0.65,0.807,0.882,0.482,0.656,0.867,0.879,0.731,0.878,0.974,0.636,0.734,0.742,0.896
2013-01-01 04:00:00,0.816,0.738,0.717,0.654,0.824,0.906,0.487,0.687,0.873,0.89,0.716,0.875,0.979,0.647,0.727,0.74,0.889
2013-01-01 05:00:00,0.822,0.759,0.709,0.677,0.834,0.898,0.49,0.696,0.883,0.902,0.704,0.891,0.978,0.654,0.755,0.741,0.896
2013-01-01 06:00:00,0.829,0.769,0.733,0.69,0.808,0.889,0.484,0.68,0.886,0.911,0.732,0.903,0.974,0.641,0.783,0.75,0.902
2013-01-01 07:00:00,0.833,0.781,0.764,0.685,0.791,0.9,0.471,0.7,0.877,0.909,0.753,0.909,0.973,0.638,0.802,0.756,0.888
2013-01-01 08:00:00,0.816,0.785,0.751,0.661,0.789,0.89,0.451,0.692,0.861,0.895,0.774,0.895,0.97,0.592,0.802,0.732,0.857
2013-01-01 09:00:00,0.798,0.776,0.707,0.719,0.782,0.868,0.393,0.657,0.872,0.852,0.779,0.87,0.975,0.541,0.778,0.698,0.853
2013-01-01 10:00:00,0.765,0.726,0.666,0.702,0.763,0.831,0.29,0.603,0.768,0.856,0.743,0.84,0.899,0.472,0.728,0.661,0.834
2013-01-01 11:00:00,0.754,0.713,0.656,0.61,0.769,0.804,0.26,0.608,0.714,0.756,0.721,0.844,0.866,0.399,0.71,0.687,0.823
2013-01-01 12:00:00,0.739,0.714,0.636,0.62,0.747,0.814,0.255,0.595,0.683,0.768,0.694,0.831,0.837,0.464,0.7,0.667,0.799
