hour,CZ,DE,LT,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,SE,SK
2015-01-01 00:00:00,0.184,0.341,0.66,0.523,0.46,0.441,0.633,0.435,0.532,0.573,0.499,0.324,0.627,0.459,0.593,0.618,0.695,0.52,0.465,0.569,0.632,0.031
2015-01-01 01:00:00,0.164,0.345,0.666,0.527,0.446,0.442,0.634,0.43,0.534,0.535,0.52,0.29,0.653,0.475,0.633,0.559,0.648,0.523,0.455,0.575,0.634,0.023
2015-01-01 02:00:00,0.166,0.352,0.676,0.537,0.445,0.452,0.609,0.435,0.572,0.547,0.538,0.279,0.68,0.488,0.692,0.525,0.665,0.532,0.467,0.554,0.633,0.019
2015-01-01 03:00:00,0.176,0.357,0.712,0.541,0.49,0.473,0.575,0.426,0.579,0.523,0.537,0.305,0.652,0.493,0.717,0.484,0.66,0.54,0.489,0.523,0.637,0.018
2015-01-01 04:00:00,0.177,0.359,0.744,0.537,0.5,0.494,0.559,0.429,0.56,0.521,0.505,0.323,0.594,0.486,0.714,0.482,0.626,0.528,0.495,0.514,0.64,0.019
2015-01-01 05:00:00,0.169,0.367,0.741,0.54,0.485,0.507,0.54,0.452,0.538,0.52,0.49,0.348,0.561,0.482,0.734,0.455,0.611,0.52,0.497,0.529,0.634,0.02
2015-01-01 06:00:00,0.158,0.371,0.727,0.563,0.474,0.529,0.536,0.516,0.512,0.487,0.476,0.334,0.586,0.475,0.774,0.417,0.57,0.535,0.508,0.601,0.642,0.02
2015-01-01 07:00:00,0.152,0.396,0.728,0.598,0.491,0.582,0.529,0.618,0.482,0.46,0.474,0.342,0.59,0.469,0.813,0.384,0.556,0.567,0.578,0.638,0.642,0.016
2015-01-01 08:00:00,0.157,0.396,0.745,0.603,0.536,0.641,0.553,0.559,0.501,0.452,0.494,0.377,0.581,0.48,0.801,0.38,0.54,0.608,0.631,0.551,0.639,0.012
2015-01-01 09:00:00,0.173,0.416,0.778,0.616,0.539,0.612,0.596,0.54,0.545,0.489,0.521,0.388,0.621,0.493,0.763,0.413,0.56,0.608,0.603,0.658,0.632,0.01
2015-01-01 10:00:00,0.179,0.428,0.797,0.582,0.494,0.602,0.611,0.503,0.551,0.47,0.487,0.343,0.681,0.505,0.69,0.425,0.545,0.538,0.597,0.585,0.619,0.011
2015-01-01 11:00:00,0.181,0.41,0.761,0.642,0.476,0.675,0.607,0.597,0.568,0.49,0.508,0.357,0.689,0.512,0.716,0.427,0.581,0.557,0.689,0.708,0.621,0.01
2015-01-01 12:00:00,0.199,0.417,0.772,0.617,0.513,0.614,0.595,0.558,0.484,0.495,0.5,0.262,0.665,0.501,0.733,0.339,0.558,0.611,0.701,0.601,0.591,0.011
2015-01-01 13:00:00,0.175,0.419,0.798,0.583,0.582,0.503,0.569,0.533,0.578,0.481,0.537,0.283,0.676,0.546,0.692,0.36,0.507,0.637,0.586,0.598,0.585,0.013
2015-01-01 14:00:00,0.158,0.437,0.83,0.583,0.481,0.499,0.583,0.533,0.549,0.508,0.549,0.304,0.679,0.644,0.762,0.426,0.587,0.577,0.528,0.622,0.577,0.015
2015-01-01 15:00:00,0.172,0.483,0.823,0.608,0.426,0.584,0.637,0.567,0.472,0.525,0.507,0.205,0.696,0.544,0.783,0.352,0.603,0.65,0.552,0.696,0.578,0.016
2015-01-01 16:00:00,0.21,0.5,0.847,0.634,0.46,0.554,0.569,0.661,0.56,0.476,0.583,0.198,0.688,0.569,0.798,0.373,0.51,0.685,0.595,0.733,0.579,0.017
2015-01-01 17:00:00,0.284,0.529,0.873,0.666,0.542,0.679,0.545,0.656,0.543,0.491,0.596,0.191,0.65,0.671,0.822,0.413,0.571,0.688,0.676,0.696,0.576,0.018
2015-01-01 18:00:00,0.342,0.563,0.89,0.672,0.543,0.66,0.589,0.69,0.618,0.529,0.576,0.228,0.649,0.626,0.805,0.423,0.608,0.658,0.673,0.746,0.571,0.016
2015-01-01 19:00:00,0.385,0.599,0.888,0.693,0.548,0.697,0.564,0.737,0.611,0.53,0.555,0.274,0.673,0.619,0.832,0.483,0.603,0.645,0.702,0.778,0.585,0.019
2015-01-01 20:00:00,0.444,0.63,0.88,0.706,0.525,0.699,0.564,0.779,0.623,0.518,0.579,0.336,0.648,0.637,0.864,0.518,0.611,0.67,0.709,0.783,0.595,0.028
2015-01-01 21:00:00,0.49,0.665,0.885,0.718,0.514,0.734,0.6,0.802,0.634,0.508,0.574,0.335,0.67,0.613,0.878,0.529,0.605,0.692,0.718,0.795,0.591,0.021
2015-01-01 22:00:00,0.508,0.699,0.902,0.758,0.602,0.77,0.554,0.852,0.683,0.515,0.612,0.388,0.671,0.631,0.881,0.555,0.606,0.733,0.763,0.874,0.62,0.026
2015-01-01 23:00:00,0.525,0.721,0.911,0.782,0.649,0.791,0.523,0.857,0.716,0.512,0.634,0.467,0.647,0.669,0.872,0.615,0.6,0.741,0.795,0.922,0.639,0.024
2015-01-02 00:00:00,0.55,0.751,0.905,0.815,0.678,0.838,0.582,0.865,0.749,0.545,0.667,0.543,0.672,0.696,0.914,0.69,0.643,0.747,0.826,0.938,0.621,0.023
2015-01-02 01:00:00,0.587,0.785,0.885,0.839,0.688,0.868,0.672,0.903,0.765,0.562,0.704,0.579,0.706,0.708,0.944,0.722,0.665,0.794,0.833,0.955,0.642,0.03
2015-01-02 02:00:00,0.623,0.81,0.872,0.868,0.76,0.891,0.707,0.939,0.793,0.555,0.748,0.582,0.73,0.725,0.948,0.728,0.685,0.846,0.877,0.973,0.66,0.042
