hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2012-01-01 00:00:00,1.683,1.592,1.672,1.543,1.572,1.743,1.873,1.662,1.743,1.584,1.602,1.682,1.743,1.613,1.693,1.802,1.541
2012-01-01 01:00:00,1.683,1.582,1.672,1.543,1.552,1.733,1.863,1.662,1.663,1.594,1.602,1.682,1.723,1.613,1.693,1.802,1.541
2012-01-01 02:00:00,1.673,1.562,1.682,1.553,1.522,1.723,1.843,1.662,1.643,1.594,1.612,1.682,1.713,1.613,1.703,1.792,1.521
2012-01-01 03:00:00,1.693,1.582,1.712,1.583,1.532,1.743,1.863,1.692,1.663,1.624,1.652,1.662,1.733,1.633,1.733,1.812,1.541
2012-01-01 04:00:00,1.793,1.682,1.823,1.683,1.612,1.843,1.954,1.793,1.773,1.734,1.762,1.782,1.793,1.733,1.843,1.903,1.641
2012-01-01 05:00:00,2.073,1.963,2.103,1.953,1.872,2.113,2.254,2.073,2.074,2.015,2.043,2.092,2.114,1.994,2.123,2.183,1.912
2012-01-01 06:00:00,2.213,2.083,2.263,2.094,1.972,2.233,2.384,2.203,2.214,2.155,2.183,2.243,2.244,2.134,2.263,2.333,2.022
2012-01-01 07:00:00,2.133,1.993,2.183,2.023,1.882,2.193,2.294,2.123,2.144,2.125,2.113,2.172,2.174,2.104,2.183,2.243,1.932
2012-01-01 08:00:00,2.093,1.932,2.133,2.013,1.812,2.133,2.254,2.093,2.094,2.085,2.093,2.112,2.104,2.054,2.163,2.173,1.861
2012-01-01 09:00:00,2.033,1.862,2.063,1.983,1.732,2.063,2.204,2.053,2.024,2.035,2.063,2.042,2.033,2.004,2.123,2.083,1.791
2012-01-01 10:00:00,1.973,1.792,1.993,1.943,1.662,2.003,2.144,2.013,1.974,1.995,2.013,1.982,1.973,1.954,2.073,2.013,1.721
2012-01-01 11:00:00,1.923,1.742,1.933,1.913,1.602,1.943,2.084,1.963,1.924,1.955,1.973,1.922,1.913,1.914,2.023,1.943,1.661
2012-01-01 12:00:00,1.873,1.702,1.883,1.893,1.562,1.893,2.044,1.913,1.883,1.924,1.953,1.872,1.863,1.884,1.993,1.883,1.611
2012-01-01 13:00:00,1.843,1.642,1.843,1.863,1.502,1.853,1.994,1.883,1.843,1.904,1.923,1.842,1.823,1.864,1.953,1.832,1.551
2012-01-01 14:00:00,1.813,1.602,1.813,1.873,1.421,1.813,1.974,1.863,1.813,1.904,1.923,1.812,1.793,1.854,1.953,1.772,1.511
2012-01-01 15:00:00,1.793,1.562,1.793,1.873,1.391,1.793,1.944,1.853,1.793,1.914,1.923,1.782,1.763,1.854,1.933,1.732,1.441
2012-01-01 16:00:00,1.803,1.542,1.793,1.913,1.381,1.793,1.964,1.873,1.793,1.944,1.963,1.792,1.763,1.884,1.953,1.722,1.431
