hour,CZ,DE,LT,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,SE,SK
2015-01-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.009,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
2015-01-28 08:00:00,0.022,0.0,0.0,0.032,0.044,0.024,0.022,0.013,0.02,0.071,0.008,0.044,0.094,0.013,0.046,0.042,0.03,0.017,0.049,0.012,0.0,0.093
2015-01-28 09:00:00,0.109,0.023,0.031,0.079,0.109,0.12,0.054,0.051,0.084,0.158,0.03,0.156,0.13,0.033,0.104,0.135,0.058,0.035,0.103,0.021,0.0,0.246
2015-01-28 10:00:00,0.195,0.069,0.061,0.123,0.164,0.115,0.102,0.074,0.187,0.26,0.064,0.225,0.145,0.053,0.105,0.288,0.094,0.089,0.167,0.04,0.011,0.387
2015-01-28 11:00:00,0.267,0.115,0.08,0.136,0.234,0.12,0.083,0.162,0.232,0.224,0.139,0.213,0.13,0.074,0.099,0.281,0.115,0.111,0.141,0.041,0.023,0.444
2015-01-28 12:00:00,0.288,0.154,0.086,0.13,0.208,0.08,0.111,0.165,0.208,0.223,0.146,0.227,0.117,0.068,0.081,0.333,0.143,0.119,0.119,0.054,0.032,0.406
2015-01-28 13:00:00,0.25,0.166,0.065,0.109,0.179,0.046,0.12,0.146,0.167,0.206,0.159,0.173,0.115,0.042,0.06,0.305,0.193,0.105,0.081,0.032,0.03,0.314
2015-01-28 14:00:00,0.195,0.14,0.037,0.093,0.178,0.034,0.092,0.172,0.103,0.163,0.087,0.137,0.073,0.032,0.024,0.234,0.097,0.059,0.096,0.034,0.017,0.219
2015-01-28 15:00:00,0.132,0.09,0.008,0.044,0.098,0.017,0.03,0.087,0.069,0.083,0.041,0.059,0.035,0.016,0.007,0.087,0.065,0.013,0.044,0.02,0.002,0.123
2015-01-28 16:00:00,0.056,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037
2015-01-28 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
