hour,DE,LT,PL,PL pomorskie,PL zachodniopomorskie,SE
2015-01-28 00:00:00,0.679,0.002,0.232,0.232,0.172,0.293
2015-01-28 01:00:00,0.727,0.009,0.178,0.178,0.142,0.29
2015-01-28 02:00:00,0.77,0.01,0.161,0.161,0.185,0.284
2015-01-28 03:00:00,0.824,0.022,0.168,0.168,0.299,0.313
2015-01-28 04:00:00,0.867,0.044,0.255,0.255,0.392,0.363
2015-01-28 05:00:00,0.893,0.093,0.339,0.339,0.469,0.436
2015-01-28 06:00:00,0.913,0.125,0.384,0.384,0.576,0.468
2015-01-28 07:00:00,0.92,0.151,0.453,0.453,0.646,0.518
2015-01-28 08:00:00,0.928,0.193,0.591,0.591,0.71,0.61
2015-01-28 09:00:00,0.937,0.286,0.775,0.775,0.83,0.723
2015-01-28 10:00:00,0.943,0.431,0.876,0.876,0.915,0.845
2015-01-28 11:00:00,0.946,0.595,0.869,0.869,0.938,0.899
2015-01-28 12:00:00,0.944,0.64,0.852,0.852,0.969,0.916
2015-01-28 13:00:00,0.948,0.668,0.867,0.867,0.998,0.93
2015-01-28 14:00:00,0.949,0.775,0.923,0.923,1.0,0.939
2015-01-28 15:00:00,0.949,0.898,0.958,0.958,0.999,0.946
2015-01-28 16:00:00,0.949,0.884,0.982,0.982,0.999,0.948
2015-01-28 17:00:00,0.95,0.937,0.988,0.988,1.0,0.949
2015-01-28 18:00:00,0.95,0.95,0.995,0.995,1.0,0.949
2015-01-28 19:00:00,0.95,0.95,0.997,0.997,1.0,0.95
2015-01-28 20:00:00,0.95,0.95,0.996,0.996,1.0,0.95
2015-01-28 21:00:00,0.95,0.95,0.996,0.996,1.0,0.95
2015-01-28 22:00:00,0.95,0.95,0.997,0.997,1.0,0.95
2015-01-28 23:00:00,0.95,0.95,0.999,0.999,1.0,0.949
2015-01-29 00:00:00,0.95,0.95,0.999,0.999,1.0,0.949
2015-01-29 01:00:00,0.95,0.95,0.999,0.999,1.0,0.947
2015-01-29 02:00:00,0.95,0.95,1.0,1.0,1.0,0.949
2015-01-29 03:00:00,0.95,0.95,0.999,0.999,1.0,0.949
2015-01-29 04:00:00,0.95,0.95,0.998,0.998,1.0,0.949
2015-01-29 05:00:00,0.944,0.95,0.998,0.998,1.0,0.946
2015-01-29 06:00:00,0.925,0.95,0.999,0.999,1.0,0.944
2015-01-29 07:00:00,0.928,0.95,0.999,0.999,1.0,0.944
2015-01-29 08:00:00,0.921,0.95,0.999,0.999,1.0,0.946
2015-01-29 09:00:00,0.887,0.95,0.999,0.999,1.0,0.945
2015-01-29 10:00:00,0.859,0.95,0.999,0.999,0.999,0.946
2015-01-29 11:00:00,0.675,0.95,0.998,0.998,0.999,0.945
2015-01-29 12:00:00,0.769,0.95,0.995,0.995,1.0,0.947
2015-01-29 13:00:00,0.785,0.95,0.991,0.991,1.0,0.941
2015-01-29 14:00:00,0.73,0.95,0.989,0.989,1.0,0.941
2015-01-29 15:00:00,0.617,0.95,0.987,0.987,1.0,0.938
2015-01-29 16:00:00,0.524,0.95,0.977,0.977,0.998,0.935
2015-01-29 17:00:00,0.441,0.95,0.96,0.96,0.991,0.929
2015-01-29 18:00:00,0.347,0.949,0.94,0.94,0.969,0.909
2015-01-29 19:00:00,0.254,0.948,0.925,0.925,0.96,0.899
2015-01-29 20:00:00,0.178,0.95,0.926,0.926,0.94,0.914
2015-01-29 21:00:00,0.136,0.95,0.891,0.891,0.904,0.907
2015-01-29 22:00:00,0.12,0.95,0.802,0.802,0.839,0.882
2015-01-29 23:00:00,0.082,0.95,0.814,0.814,0.811,0.861
2015-01-30 00:00:00,0.072,0.95,0.772,0.772,0.814,0.849
2015-01-30 01:00:00,0.067,0.95,0.723,0.723,0.803,0.808
2015-01-30 02:00:00,0.064,0.948,0.736,0.736,0.791,0.766
2015-01-30 03:00:00,0.058,0.942,0.77,0.77,0.686,0.745
2015-01-30 04:00:00,0.043,0.947,0.731,0.731,0.641,0.726
2015-01-30 05:00:00,0.04,0.945,0.785,0.785,0.597,0.655
2015-01-30 06:00:00,0.037,0.944,0.82,0.82,0.658,0.578
2015-01-30 07:00:00,0.039,0.939,0.899,0.899,0.678,0.563
2015-01-30 08:00:00,0.048,0.941,0.941,0.941,0.638,0.596
2015-01-30 09:00:00,0.057,0.947,0.887,0.887,0.52,0.647
2015-01-30 10:00:00,0.054,0.949,0.88,0.88,0.476,0.651
2015-01-30 11:00:00,0.07,0.947,0.855,0.855,0.464,0.615
2015-01-30 12:00:00,0.098,0.948,0.815,0.815,0.325,0.624
2015-01-30 13:00:00,0.124,0.949,0.657,0.657,0.131,0.617
2015-01-30 14:00:00,0.118,0.948,0.585,0.585,0.106,0.581
2015-01-30 15:00:00,0.101,0.95,0.596,0.596,0.101,0.508
2015-01-30 16:00:00,0.107,0.95,0.476,0.476,0.068,0.53
2015-01-30 17:00:00,0.142,0.95,0.367,0.367,0.067,0.512
2015-01-30 18:00:00,0.193,0.95,0.346,0.346,0.068,0.49
2015-01-30 19:00:00,0.236,0.95,0.291,0.291,0.048,0.464
2015-01-30 20:00:00,0.264,0.948,0.199,0.199,0.028,0.46
2015-01-30 21:00:00,0.264,0.94,0.177,0.177,0.026,0.424
2015-01-30 22:00:00,0.234,0.942,0.113,0.113,0.021,0.379
2015-01-30 23:00:00,0.162,0.945,0.107,0.107,0.026,0.319
2015-01-31 00:00:00,0.159,0.95,0.099,0.099,0.021,0.308
2015-01-31 01:00:00,0.122,0.95,0.047,0.047,0.02,0.298
2015-01-31 02:00:00,0.083,0.95,0.047,0.047,0.04,0.288
2015-01-31 03:00:00,0.076,0.941,0.128,0.128,0.046,0.281
2015-01-31 04:00:00,0.081,0.948,0.126,0.126,0.024,0.27
2015-01-31 05:00:00,0.084,0.879,0.121,0.121,0.01,0.27
2015-01-31 06:00:00,0.075,0.465,0.112,0.112,0.004,0.26
2015-01-31 07:00:00,0.069,0.238,0.116,0.116,0.003,0.258
2015-01-31 08:00:00,0.078,0.086,0.146,0.146,0.003,0.255
2015-01-31 09:00:00,0.091,0.008,0.137,0.137,0.007,0.254
2015-01-31 10:00:00,0.093,0.008,0.143,0.143,0.011,0.255
2015-01-31 11:00:00,0.104,0.001,0.137,0.137,0.027,0.281
2015-01-31 12:00:00,0.085,0.001,0.134,0.134,0.095,0.289
2015-01-31 13:00:00,0.076,0.002,0.118,0.118,0.226,0.272
2015-01-31 14:00:00,0.084,0.022,0.1,0.1,0.381,0.271
2015-01-31 15:00:00,0.084,0.076,0.071,0.071,0.469,0.273
2015-01-31 16:00:00,0.084,0.174,0.064,0.064,0.534,0.277
2015-01-31 17:00:00,0.085,0.247,0.098,0.098,0.676,0.287
2015-01-31 18:00:00,0.09,0.31,0.162,0.162,0.865,0.303
2015-01-31 19:00:00,0.095,0.36,0.277,0.277,0.959,0.323
2015-01-31 20:00:00,0.098,0.379,0.38,0.38,0.979,0.349
2015-01-31 21:00:00,0.097,0.36,0.427,0.427,0.987,0.386
2015-01-31 22:00:00,0.096,0.327,0.509,0.509,0.997,0.428
2015-01-31 23:00:00,0.102,0.301,0.602,0.602,0.997,0.483
2015-02-01 00:00:00,0.099,0.345,0.752,0.752,0.998,0.536
2015-02-01 01:00:00,0.098,0.417,0.914,0.914,0.995,0.589
2015-02-01 02:00:00,0.093,0.494,0.967,0.967,0.989,0.662
2015-02-01 03:00:00,0.088,0.583,0.986,0.986,0.99,0.728
2015-02-01 04:00:00,0.089,0.627,0.993,0.993,0.987,0.77
2015-02-01 05:00:00,0.094,0.652,0.994,0.994,0.985,0.796
2015-02-01 06:00:00,0.11,0.712,0.987,0.987,0.987,0.794
2015-02-01 07:00:00,0.155,0.807,0.98,0.98,0.986,0.799
2015-02-01 08:00:00,0.219,0.877,0.986,0.986,0.985,0.804
2015-02-01 09:00:00,0.312,0.886,0.992,0.992,0.983,0.819
2015-02-01 10:00:00,0.417,0.921,0.999,0.999,0.989,0.83
2015-02-01 11:00:00,0.519,0.943,0.999,0.999,0.98,0.816
2015-02-01 12:00:00,0.636,0.948,0.999,0.999,0.978,0.826
2015-02-01 13:00:00,0.703,0.95,1.0,1.0,0.954,0.825
2015-02-01 14:00:00,0.748,0.95,0.999,0.999,0.927,0.812
2015-02-01 15:00:00,0.791,0.95,0.998,0.998,0.931,0.804
2015-02-01 16:00:00,0.816,0.95,0.996,0.996,0.941,0.791
2015-02-01 17:00:00,0.831,0.95,0.99,0.99,0.954,0.76
2015-02-01 18:00:00,0.844,0.95,0.987,0.987,0.986,0.724
2015-02-01 19:00:00,0.859,0.95,0.988,0.988,0.988,0.716
2015-02-01 20:00:00,0.873,0.95,0.993,0.993,0.981,0.714
2015-02-01 21:00:00,0.878,0.95,0.991,0.991,0.979,0.702
2015-02-01 22:00:00,0.851,0.95,0.985,0.985,0.97,0.643
2015-02-01 23:00:00,0.818,0.95,0.985,0.985,0.927,0.545
2015-02-02 00:00:00,0.817,0.95,0.957,0.957,0.895,0.461
2015-02-02 01:00:00,0.809,0.95,0.942,0.942,0.855,0.398
2015-02-02 02:00:00,0.763,0.948,0.921,0.921,0.812,0.372
2015-02-02 03:00:00,0.737,0.931,0.866,0.866,0.793,0.381
2015-02-02 04:00:00,0.731,0.878,0.823,0.823,0.802,0.384
2015-02-02 05:00:00,0.71,0.798,0.807,0.807,0.823,0.393
