hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2015-01-28 00:00:00,0.3,0.373,0.36,0.328,0.321,0.432,0.217,0.373,0.208,0.183,0.102,0.27,0.381,0.329,0.198,0.316,0.275
2015-01-28 01:00:00,0.297,0.366,0.367,0.355,0.31,0.424,0.219,0.372,0.239,0.184,0.106,0.277,0.416,0.358,0.206,0.323,0.249
2015-01-28 02:00:00,0.304,0.361,0.381,0.371,0.313,0.412,0.222,0.374,0.243,0.188,0.11,0.29,0.406,0.38,0.217,0.347,0.253
2015-01-28 03:00:00,0.326,0.375,0.39,0.381,0.329,0.414,0.239,0.382,0.254,0.195,0.113,0.291,0.407,0.406,0.225,0.368,0.308
2015-01-28 04:00:00,0.344,0.356,0.379,0.384,0.339,0.412,0.252,0.392,0.262,0.202,0.113,0.309,0.412,0.427,0.225,0.367,0.367
2015-01-28 05:00:00,0.342,0.314,0.358,0.381,0.318,0.375,0.271,0.368,0.243,0.213,0.115,0.339,0.388,0.449,0.224,0.358,0.384
2015-01-28 06:00:00,0.344,0.31,0.364,0.378,0.304,0.347,0.289,0.352,0.225,0.23,0.119,0.358,0.347,0.432,0.24,0.349,0.396
2015-01-28 07:00:00,0.345,0.314,0.344,0.37,0.303,0.351,0.287,0.343,0.212,0.241,0.123,0.36,0.316,0.367,0.254,0.312,0.423
2015-01-28 08:00:00,0.351,0.306,0.291,0.383,0.297,0.357,0.249,0.341,0.201,0.242,0.131,0.371,0.298,0.358,0.244,0.271,0.476
2015-01-28 09:00:00,0.358,0.394,0.256,0.527,0.336,0.336,0.23,0.346,0.272,0.202,0.142,0.39,0.284,0.415,0.239,0.27,0.482
2015-01-28 10:00:00,0.38,0.407,0.343,0.499,0.418,0.396,0.296,0.345,0.228,0.287,0.124,0.437,0.322,0.357,0.244,0.36,0.438
2015-01-28 11:00:00,0.41,0.47,0.338,0.46,0.626,0.385,0.286,0.339,0.288,0.363,0.156,0.419,0.289,0.328,0.269,0.355,0.52
2015-01-28 12:00:00,0.423,0.395,0.31,0.406,0.446,0.315,0.257,0.329,0.274,0.285,0.18,0.408,0.209,0.327,0.287,0.365,0.637
2015-01-28 13:00:00,0.44,0.335,0.27,0.298,0.444,0.282,0.162,0.314,0.216,0.23,0.224,0.433,0.151,0.287,0.287,0.383,0.73
