hour,CZ,DE,LT,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,SE,SK
2013-01-05 00:00:00,0.887,0.601,0.641,0.538,0.9,0.381,0.382,0.751,0.436,0.208,0.535,0.966,0.289,0.627,0.543,0.649,0.237,0.598,0.553,0.508,0.334,0.495
2013-01-05 01:00:00,0.895,0.587,0.645,0.548,0.867,0.443,0.405,0.71,0.517,0.196,0.574,0.937,0.31,0.653,0.619,0.754,0.204,0.648,0.507,0.472,0.325,0.567
2013-01-05 02:00:00,0.893,0.57,0.667,0.575,0.841,0.531,0.459,0.646,0.585,0.313,0.65,0.873,0.354,0.677,0.677,0.799,0.32,0.725,0.505,0.452,0.316,0.622
2013-01-05 03:00:00,0.892,0.544,0.683,0.572,0.751,0.561,0.52,0.561,0.649,0.465,0.71,0.821,0.409,0.674,0.69,0.792,0.517,0.769,0.496,0.386,0.298,0.686
2013-01-05 04:00:00,0.886,0.513,0.725,0.574,0.651,0.565,0.585,0.477,0.66,0.572,0.733,0.754,0.472,0.665,0.725,0.745,0.653,0.803,0.464,0.4,0.274,0.749
2013-01-05 05:00:00,0.873,0.481,0.776,0.586,0.62,0.606,0.624,0.52,0.664,0.595,0.758,0.664,0.547,0.697,0.764,0.653,0.679,0.826,0.466,0.397,0.266,0.778
2013-01-05 06:00:00,0.856,0.452,0.81,0.596,0.681,0.667,0.631,0.585,0.658,0.568,0.764,0.612,0.597,0.711,0.771,0.558,0.66,0.857,0.504,0.361,0.242,0.827
2013-01-05 07:00:00,0.826,0.423,0.837,0.613,0.689,0.699,0.632,0.521,0.73,0.528,0.795,0.621,0.617,0.737,0.771,0.561,0.654,0.882,0.54,0.357,0.218,0.852
2013-01-05 08:00:00,0.81,0.394,0.853,0.626,0.641,0.707,0.668,0.479,0.816,0.625,0.835,0.641,0.641,0.768,0.775,0.706,0.776,0.898,0.566,0.323,0.195,0.832
2013-01-05 09:00:00,0.791,0.365,0.858,0.641,0.657,0.703,0.718,0.428,0.863,0.779,0.871,0.695,0.721,0.801,0.769,0.8,0.872,0.906,0.607,0.294,0.169,0.797
2013-01-05 10:00:00,0.783,0.34,0.859,0.535,0.59,0.576,0.732,0.339,0.777,0.655,0.786,0.651,0.647,0.727,0.678,0.643,0.781,0.811,0.451,0.197,0.142,0.795
2013-01-05 11:00:00,0.676,0.268,0.846,0.588,0.614,0.719,0.856,0.357,0.847,0.821,0.835,0.712,0.787,0.756,0.743,0.728,0.884,0.803,0.482,0.226,0.094,0.61
2013-01-05 12:00:00,0.721,0.28,0.799,0.585,0.576,0.666,0.919,0.386,0.879,0.874,0.848,0.692,0.858,0.814,0.693,0.784,0.953,0.796,0.507,0.202,0.083,0.797
2013-01-05 13:00:00,0.754,0.278,0.772,0.562,0.57,0.646,0.907,0.321,0.84,0.891,0.818,0.617,0.955,0.831,0.657,0.767,0.967,0.783,0.481,0.171,0.08,0.902
2013-01-05 14:00:00,0.755,0.249,0.738,0.532,0.528,0.611,0.858,0.262,0.833,0.866,0.806,0.686,0.906,0.837,0.614,0.828,0.944,0.763,0.428,0.151,0.076,0.929
2013-01-05 15:00:00,0.73,0.235,0.685,0.501,0.45,0.571,0.853,0.198,0.818,0.84,0.772,0.695,0.859,0.78,0.57,0.836,0.927,0.713,0.393,0.146,0.073,0.937
2013-01-05 16:00:00,0.697,0.217,0.661,0.481,0.433,0.529,0.85,0.172,0.782,0.827,0.709,0.697,0.872,0.745,0.529,0.83,0.903,0.662,0.412,0.121,0.068,0.941
2013-01-05 17:00:00,0.676,0.209,0.632,0.455,0.39,0.511,0.818,0.138,0.727,0.749,0.665,0.681,0.851,0.729,0.493,0.802,0.832,0.609,0.401,0.107,0.063,0.941
2013-01-05 18:00:00,0.619,0.201,0.555,0.419,0.335,0.469,0.791,0.126,0.704,0.66,0.642,0.66,0.821,0.701,0.415,0.782,0.76,0.535,0.375,0.096,0.056,0.937
2013-01-05 19:00:00,0.551,0.184,0.512,0.358,0.265,0.381,0.748,0.106,0.641,0.608,0.598,0.582,0.766,0.671,0.324,0.732,0.686,0.436,0.304,0.08,0.047,0.929
2013-01-05 20:00:00,0.488,0.161,0.455,0.306,0.217,0.329,0.729,0.087,0.557,0.537,0.567,0.474,0.74,0.645,0.267,0.633,0.623,0.38,0.233,0.05,0.041,0.918
2013-01-05 21:00:00,0.416,0.15,0.431,0.254,0.18,0.251,0.733,0.057,0.482,0.482,0.536,0.378,0.725,0.583,0.211,0.515,0.56,0.322,0.155,0.041,0.038,0.897
2013-01-05 22:00:00,0.351,0.147,0.383,0.19,0.148,0.166,0.642,0.056,0.302,0.39,0.417,0.24,0.683,0.446,0.152,0.341,0.491,0.24,0.097,0.037,0.039,0.865
2013-01-05 23:00:00,0.309,0.162,0.303,0.2,0.165,0.189,0.661,0.059,0.286,0.417,0.416,0.302,0.714,0.445,0.181,0.33,0.513,0.233,0.1,0.046,0.056,0.767
2013-01-06 00:00:00,0.334,0.19,0.318,0.215,0.138,0.247,0.66,0.063,0.27,0.436,0.38,0.299,0.717,0.4,0.231,0.337,0.531,0.236,0.116,0.06,0.063,0.769
2013-01-06 01:00:00,0.372,0.203,0.353,0.219,0.145,0.241,0.613,0.066,0.308,0.417,0.348,0.281,0.68,0.377,0.228,0.372,0.498,0.253,0.129,0.081,0.074,0.787
2013-01-06 02:00:00,0.397,0.211,0.394,0.213,0.168,0.189,0.6,0.067,0.344,0.431,0.35,0.255,0.648,0.392,0.199,0.376,0.507,0.255,0.123,0.098,0.079,0.774
2013-01-06 03:00:00,0.391,0.22,0.405,0.201,0.162,0.148,0.569,0.074,0.331,0.436,0.324,0.235,0.625,0.362,0.192,0.351,0.525,0.244,0.105,0.113,0.085,0.738
2013-01-06 04:00:00,0.368,0.258,0.366,0.19,0.131,0.142,0.497,0.088,0.263,0.456,0.278,0.163,0.603,0.297,0.205,0.321,0.522,0.24,0.095,0.122,0.089,0.704
2013-01-06 05:00:00,0.348,0.274,0.327,0.184,0.133,0.158,0.41,0.106,0.217,0.369,0.238,0.123,0.551,0.258,0.215,0.215,0.431,0.243,0.12,0.115,0.094,0.646
2013-01-06 06:00:00,0.342,0.298,0.299,0.179,0.149,0.165,0.342,0.122,0.181,0.264,0.218,0.113,0.448,0.233,0.191,0.15,0.344,0.241,0.132,0.143,0.105,0.57
2013-01-06 07:00:00,0.34,0.319,0.276,0.172,0.141,0.141,0.307,0.202,0.16,0.21,0.212,0.109,0.399,0.231,0.149,0.112,0.296,0.231,0.114,0.2,0.114,0.453
2013-01-06 08:00:00,0.365,0.339,0.261,0.172,0.147,0.102,0.353,0.256,0.141,0.22,0.234,0.079,0.417,0.251,0.118,0.096,0.336,0.205,0.111,0.235,0.131,0.335
2013-01-06 09:00:00,0.411,0.358,0.241,0.173,0.156,0.092,0.411,0.342,0.118,0.222,0.242,0.069,0.446,0.257,0.088,0.086,0.329,0.167,0.096,0.28,0.149,0.262
2013-01-06 10:00:00,0.465,0.392,0.232,0.146,0.145,0.045,0.396,0.33,0.157,0.219,0.266,0.048,0.364,0.402,0.051,0.125,0.281,0.15,0.037,0.245,0.163,0.179
