hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2015-01-28 00:00:00,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928
2015-01-28 01:00:00,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2015-01-28 02:00:00,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881
2015-01-28 03:00:00,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881
2015-01-28 04:00:00,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896,0.896
2015-01-28 05:00:00,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
2015-01-28 06:00:00,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079,1.079
2015-01-28 07:00:00,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161
2015-01-28 08:00:00,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208
2015-01-28 09:00:00,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227
2015-01-28 10:00:00,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227,1.227
2015-01-28 11:00:00,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241,1.241
2015-01-28 12:00:00,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238
2015-01-28 13:00:00,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243
2015-01-28 14:00:00,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225
2015-01-28 15:00:00,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211
2015-01-28 16:00:00,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247,1.247
2015-01-28 17:00:00,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
2015-01-28 18:00:00,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267
