hour,CZ,DE,LT,SE,SK
2013-01-05 00:00:00,0.926,0.839,0.882,0.966,0.819
2013-01-05 01:00:00,0.941,0.782,0.894,0.977,0.843
2013-01-05 02:00:00,0.931,0.778,0.889,0.968,0.848
2013-01-05 03:00:00,0.92,0.775,0.89,0.953,0.848
2013-01-05 04:00:00,0.936,0.774,0.897,0.945,0.853
2013-01-05 05:00:00,0.996,0.792,0.966,0.958,0.853
2013-01-05 06:00:00,1.114,0.895,1.035,1.006,0.914
2013-01-05 07:00:00,1.169,0.999,1.082,1.07,0.951
2013-01-05 08:00:00,1.191,1.061,1.108,1.102,1.022
2013-01-05 09:00:00,1.22,1.082,1.117,1.132,1.051
2013-01-05 10:00:00,1.22,1.1,1.118,1.149,1.075
2013-01-05 11:00:00,1.214,1.119,1.11,1.156,1.068
2013-01-05 12:00:00,1.22,1.129,1.114,1.155,1.042
2013-01-05 13:00:00,1.217,1.119,1.108,1.154,1.018
2013-01-05 14:00:00,1.209,1.099,1.102,1.157,0.994
2013-01-05 15:00:00,1.21,1.094,1.11,1.167,1.005
2013-01-05 16:00:00,1.217,1.117,1.106,1.189,1.032
2013-01-05 17:00:00,1.227,1.145,1.111,1.199,1.027
2013-01-05 18:00:00,1.211,1.153,1.108,1.185,1.029
2013-01-05 19:00:00,1.196,1.136,1.09,1.168,1.012
2013-01-05 20:00:00,1.15,1.061,1.055,1.138,0.97
2013-01-05 21:00:00,1.08,1.004,0.999,1.102,0.93
2013-01-05 22:00:00,1.022,0.963,0.955,1.057,0.878
2013-01-05 23:00:00,0.973,0.894,0.921,1.039,0.853
2013-01-06 00:00:00,0.926,0.821,0.9,1.009,0.817
2013-01-06 01:00:00,0.839,0.807,0.911,0.936,0.814
2013-01-06 02:00:00,0.842,0.779,0.909,0.928,0.815
2013-01-06 03:00:00,0.831,0.775,0.909,0.912,0.815
2013-01-06 04:00:00,0.825,0.773,0.912,0.899,0.821
2013-01-06 05:00:00,0.83,0.777,0.946,0.892,0.824
2013-01-06 06:00:00,0.866,0.794,0.987,0.926,0.874
2013-01-06 07:00:00,0.906,0.871,1.024,0.986,0.916
2013-01-06 08:00:00,0.942,0.937,1.056,1.021,0.995
2013-01-06 09:00:00,1.003,0.976,1.072,1.05,1.033
2013-01-06 10:00:00,1.038,1.005,1.076,1.069,1.061
2013-01-06 11:00:00,1.044,1.022,1.073,1.076,1.05
2013-01-06 12:00:00,1.039,1.014,1.073,1.075,1.015
2013-01-06 13:00:00,1.04,0.993,1.066,1.074,0.995
2013-01-06 14:00:00,1.037,0.971,1.061,1.078,0.969
2013-01-06 15:00:00,1.045,0.968,1.072,1.094,0.981
2013-01-06 16:00:00,1.062,0.991,1.076,1.119,1.011
2013-01-06 17:00:00,1.056,1.015,1.081,1.14,1.015
2013-01-06 18:00:00,1.029,1.015,1.092,1.132,1.029
2013-01-06 19:00:00,1.006,1.002,1.079,1.119,1.018
2013-01-06 20:00:00,0.992,0.941,1.049,1.091,0.977
2013-01-06 21:00:00,0.954,0.904,0.999,1.056,0.94
2013-01-06 22:00:00,0.932,0.881,0.958,1.016,0.887
2013-01-06 23:00:00,0.903,0.826,0.928,1.0,0.861
2013-01-07 00:00:00,0.863,0.794,0.911,0.972,0.828
2013-01-07 01:00:00,0.859,0.757,0.919,0.944,0.852
2013-01-07 02:00:00,0.861,0.729,0.917,0.935,0.852
2013-01-07 03:00:00,0.85,0.721,0.916,0.919,0.853
2013-01-07 04:00:00,0.839,0.719,0.918,0.917,0.861
2013-01-07 05:00:00,0.837,0.714,0.932,0.949,0.867
