hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2013-01-05 00:00:00,0.912,0.709,0.893,0.986,0.71,0.922,1.017,0.927,0.786,1.1,0.963,0.994,0.913,0.991,0.942,0.808,0.864
2013-01-05 01:00:00,0.945,0.734,0.917,1.019,0.735,0.947,1.042,0.959,0.81,1.133,0.995,1.019,0.938,1.024,0.974,0.841,0.898
2013-01-05 02:00:00,0.961,0.742,0.942,1.043,0.752,0.971,1.059,0.984,0.81,1.15,1.011,1.044,0.954,1.041,0.99,0.849,0.915
2013-01-05 03:00:00,0.994,0.775,0.974,1.083,0.794,1.004,1.092,1.016,0.851,1.191,1.043,1.078,0.987,1.074,1.03,0.898,0.966
2013-01-05 04:00:00,1.101,0.875,1.071,1.18,0.894,1.103,1.192,1.112,0.957,1.3,1.138,1.17,1.078,1.174,1.126,1.014,1.102
2013-01-05 05:00:00,1.315,1.059,1.283,1.415,1.086,1.317,1.426,1.33,1.162,1.55,1.361,1.404,1.291,1.407,1.342,1.203,1.305
2013-01-05 06:00:00,1.43,1.159,1.396,1.536,1.22,1.432,1.551,1.451,1.285,1.691,1.481,1.521,1.407,1.532,1.453,1.302,1.432
2013-01-05 07:00:00,1.422,1.151,1.388,1.52,1.228,1.416,1.534,1.435,1.268,1.666,1.465,1.504,1.39,1.516,1.437,1.302,1.432
2013-01-05 08:00:00,1.413,1.142,1.38,1.512,1.228,1.408,1.534,1.435,1.252,1.658,1.449,1.495,1.39,1.507,1.429,1.302,1.441
2013-01-05 09:00:00,1.397,1.126,1.364,1.495,1.211,1.391,1.518,1.419,1.219,1.641,1.433,1.479,1.365,1.491,1.413,1.294,1.432
2013-01-05 10:00:00,1.38,1.126,1.347,1.471,1.211,1.383,1.501,1.403,1.203,1.625,1.417,1.454,1.357,1.474,1.398,1.294,1.432
2013-01-05 11:00:00,1.372,1.117,1.347,1.455,1.22,1.367,1.484,1.395,1.195,1.616,1.409,1.437,1.341,1.457,1.382,1.302,1.432
2013-01-05 12:00:00,1.38,1.142,1.347,1.447,1.236,1.367,1.476,1.395,1.227,1.608,1.401,1.429,1.341,1.457,1.382,1.31,1.441
2013-01-05 13:00:00,1.397,1.176,1.364,1.463,1.262,1.391,1.484,1.411,1.252,1.625,1.425,1.437,1.365,1.466,1.39,1.327,1.458
2013-01-05 14:00:00,1.422,1.217,1.388,1.479,1.287,1.416,1.501,1.435,1.293,1.641,1.441,1.454,1.398,1.482,1.405,1.368,1.483
2013-01-05 15:00:00,1.446,1.251,1.421,1.512,1.328,1.441,1.534,1.467,1.326,1.666,1.465,1.47,1.439,1.516,1.429,1.393,1.508
2013-01-05 16:00:00,1.504,1.301,1.477,1.56,1.37,1.498,1.584,1.524,1.383,1.716,1.512,1.521,1.497,1.574,1.469,1.459,1.559
2013-01-05 17:00:00,1.545,1.351,1.518,1.609,1.412,1.539,1.626,1.564,1.432,1.766,1.536,1.546,1.546,1.616,1.501,1.5,1.593
2013-01-05 18:00:00,1.569,1.376,1.542,1.633,1.445,1.564,1.651,1.588,1.473,1.766,1.56,1.571,1.579,1.641,1.517,1.541,1.61
2013-01-05 19:00:00,1.586,1.401,1.55,1.649,1.462,1.581,1.668,1.604,1.489,1.766,1.56,1.571,1.596,1.657,1.517,1.558,1.61
2013-01-05 20:00:00,1.569,1.392,1.542,1.609,1.454,1.572,1.659,1.588,1.489,1.758,1.536,1.554,1.596,1.641,1.501,1.549,1.593
2013-01-05 21:00:00,1.504,1.342,1.469,1.536,1.387,1.506,1.593,1.524,1.432,1.683,1.465,1.479,1.538,1.574,1.429,1.483,1.508
2013-01-05 22:00:00,1.372,1.217,1.339,1.431,1.253,1.375,1.451,1.379,1.309,1.566,1.361,1.345,1.398,1.432,1.294,1.352,1.364
2013-01-05 23:00:00,1.257,1.109,1.218,1.31,1.136,1.251,1.342,1.258,1.203,1.441,1.242,1.22,1.283,1.299,1.174,1.236,1.229
2013-01-06 00:00:00,1.233,1.084,1.185,1.301,1.103,1.218,1.334,1.266,1.178,1.433,1.234,1.186,1.259,1.266,1.142,1.203,1.186
2013-01-06 01:00:00,1.257,1.109,1.209,1.326,1.12,1.243,1.359,1.282,1.211,1.45,1.258,1.203,1.283,1.324,1.158,1.22,1.195
2013-01-06 02:00:00,1.274,1.117,1.234,1.342,1.128,1.268,1.376,1.298,1.244,1.475,1.274,1.22,1.316,1.341,1.166,1.236,1.203
2013-01-06 03:00:00,1.315,1.159,1.283,1.382,1.161,1.317,1.418,1.338,1.309,1.516,1.305,1.253,1.357,1.374,1.214,1.286,1.237
2013-01-06 04:00:00,1.413,1.251,1.38,1.479,1.245,1.424,1.518,1.435,1.424,1.616,1.401,1.362,1.481,1.474,1.31,1.385,1.33
2013-01-06 05:00:00,1.676,1.484,1.656,1.73,1.47,1.696,1.768,1.669,1.702,1.883,1.632,1.621,1.769,1.716,1.549,1.64,1.568
2013-01-06 06:00:00,1.8,1.601,1.786,1.867,1.571,1.811,1.901,1.79,1.841,2.016,1.759,1.746,1.908,1.841,1.669,1.772,1.678
2013-01-06 07:00:00,1.75,1.559,1.753,1.819,1.521,1.762,1.843,1.741,1.808,1.958,1.711,1.704,1.834,1.791,1.621,1.731,1.636
2013-01-06 08:00:00,1.742,1.526,1.713,1.819,1.487,1.762,1.843,1.733,1.784,1.958,1.711,1.679,1.826,1.791,1.629,1.706,1.593
2013-01-06 09:00:00,1.717,1.484,1.697,1.803,1.437,1.745,1.818,1.717,1.751,1.933,1.695,1.654,1.81,1.766,1.613,1.665,1.551
2013-01-06 10:00:00,1.684,1.451,1.68,1.786,1.395,1.72,1.801,1.701,1.726,1.908,1.672,1.621,1.785,1.741,1.589,1.632,1.508
2013-01-06 11:00:00,1.66,1.426,1.656,1.762,1.362,1.696,1.768,1.669,1.702,1.874,1.64,1.604,1.76,1.716,1.565,1.607,1.475
2013-01-06 12:00:00,1.652,1.401,1.656,1.762,1.337,1.696,1.768,1.669,1.686,1.866,1.632,1.587,1.752,1.716,1.565,1.582,1.458
2013-01-06 13:00:00,1.643,1.401,1.64,1.754,1.328,1.679,1.751,1.653,1.686,1.858,1.616,1.587,1.736,1.699,1.549,1.582,1.449
2013-01-06 14:00:00,1.66,1.409,1.656,1.778,1.337,1.696,1.776,1.669,1.702,1.883,1.632,1.604,1.752,1.716,1.573,1.591,1.449
2013-01-06 15:00:00,1.668,1.417,1.672,1.803,1.345,1.712,1.793,1.669,1.726,1.891,1.632,1.629,1.769,1.732,1.581,1.607,1.475
2013-01-06 16:00:00,1.717,1.459,1.721,1.851,1.379,1.753,1.843,1.709,1.767,1.941,1.672,1.679,1.818,1.774,1.637,1.657,1.517
2013-01-06 17:00:00,1.75,1.492,1.753,1.883,1.42,1.786,1.876,1.733,1.808,1.974,1.695,1.721,1.851,1.799,1.661,1.689,1.559
2013-01-06 18:00:00,1.767,1.509,1.778,1.892,1.437,1.803,1.893,1.749,1.833,1.991,1.711,1.746,1.867,1.816,1.677,1.714,1.576
2013-01-06 19:00:00,1.767,1.517,1.778,1.892,1.437,1.803,1.893,1.741,1.833,1.991,1.703,1.746,1.867,1.816,1.677,1.722,1.593
2013-01-06 20:00:00,1.75,1.501,1.753,1.867,1.437,1.778,1.868,1.717,1.816,1.974,1.68,1.738,1.851,1.791,1.653,1.714,1.576
2013-01-06 21:00:00,1.676,1.442,1.68,1.786,1.395,1.704,1.793,1.645,1.743,1.891,1.608,1.663,1.769,1.716,1.589,1.64,1.525
