hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2012-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 07:00:00,0.017,0.014,0.018,0.029,0.01,0.019,0.025,0.023,0.017,0.021,0.026,0.016,0.019,0.02,0.026,0.014,0.009
2012-02-26 08:00:00,0.052,0.058,0.048,0.06,0.048,0.056,0.063,0.055,0.057,0.068,0.068,0.053,0.052,0.061,0.053,0.047,0.039
2012-02-26 09:00:00,0.08,0.087,0.07,0.104,0.08,0.075,0.092,0.082,0.094,0.101,0.087,0.085,0.075,0.093,0.081,0.073,0.063
2012-02-26 10:00:00,0.146,0.126,0.144,0.187,0.126,0.165,0.193,0.17,0.145,0.194,0.178,0.129,0.163,0.187,0.157,0.137,0.105
2012-02-26 11:00:00,0.254,0.198,0.24,0.306,0.221,0.292,0.318,0.285,0.229,0.3,0.268,0.234,0.275,0.307,0.275,0.246,0.238
2012-02-26 12:00:00,0.333,0.296,0.255,0.349,0.337,0.39,0.385,0.367,0.31,0.368,0.305,0.28,0.358,0.402,0.326,0.34,0.344
2012-02-26 13:00:00,0.38,0.383,0.282,0.358,0.418,0.392,0.389,0.399,0.359,0.411,0.26,0.351,0.353,0.44,0.328,0.408,0.427
2012-02-26 14:00:00,0.389,0.413,0.316,0.368,0.42,0.357,0.336,0.41,0.419,0.408,0.328,0.354,0.402,0.432,0.337,0.391,0.465
2012-02-26 15:00:00,0.326,0.336,0.35,0.243,0.381,0.28,0.339,0.274,0.313,0.32,0.229,0.284,0.294,0.323,0.256,0.357,0.413
2012-02-26 16:00:00,0.198,0.208,0.218,0.129,0.269,0.163,0.185,0.152,0.157,0.172,0.106,0.185,0.174,0.173,0.143,0.218,0.269
2012-02-26 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 07:00:00,0.02,0.017,0.018,0.035,0.012,0.025,0.022,0.028,0.021,0.033,0.028,0.016,0.025,0.032,0.026,0.017,0.01
2012-02-27 08:00:00,0.053,0.054,0.048,0.077,0.041,0.063,0.068,0.065,0.059,0.07,0.059,0.052,0.065,0.071,0.059,0.047,0.038
2012-02-27 09:00:00,0.081,0.072,0.069,0.118,0.059,0.087,0.121,0.089,0.086,0.11,0.093,0.077,0.116,0.115,0.091,0.076,0.056
2012-02-27 10:00:00,0.154,0.145,0.149,0.21,0.11,0.174,0.218,0.181,0.166,0.212,0.184,0.131,0.188,0.19,0.171,0.146,0.112
2012-02-27 11:00:00,0.272,0.265,0.272,0.317,0.253,0.28,0.253,0.304,0.262,0.333,0.296,0.26,0.264,0.301,0.295,0.264,0.227
2012-02-27 12:00:00,0.341,0.375,0.291,0.401,0.321,0.377,0.341,0.382,0.372,0.417,0.345,0.311,0.362,0.377,0.361,0.342,0.25
2012-02-27 13:00:00,0.333,0.411,0.23,0.439,0.293,0.348,0.35,0.418,0.381,0.41,0.32,0.342,0.373,0.407,0.398,0.307,0.215
2012-02-27 14:00:00,0.281,0.337,0.25,0.4,0.227,0.319,0.327,0.409,0.263,0.427,0.24,0.294,0.243,0.392,0.366,0.226,0.168
2012-02-27 15:00:00,0.192,0.191,0.185,0.298,0.143,0.239,0.24,0.325,0.197,0.276,0.155,0.211,0.22,0.291,0.282,0.136,0.092
2012-02-27 16:00:00,0.089,0.051,0.073,0.162,0.042,0.177,0.124,0.18,0.092,0.123,0.124,0.067,0.16,0.153,0.174,0.046,0.023
2012-02-27 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 06:00:00,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28 07:00:00,0.017,0.003,0.009,0.051,0.0,0.036,0.041,0.042,0.009,0.044,0.046,0.003,0.021,0.047,0.025,0.006,0.0
2012-02-28 08:00:00,0.038,0.014,0.014,0.112,0.007,0.072,0.075,0.088,0.028,0.11,0.095,0.007,0.047,0.112,0.051,0.015,0.004
2012-02-28 09:00:00,0.051,0.022,0.02,0.163,0.013,0.069,0.102,0.11,0.046,0.156,0.115,0.016,0.063,0.156,0.069,0.017,0.011
2012-02-28 10:00:00,0.062,0.023,0.031,0.206,0.013,0.086,0.112,0.112,0.043,0.253,0.141,0.021,0.078,0.177,0.08,0.022,0.016
2012-02-28 11:00:00,0.073,0.034,0.033,0.243,0.024,0.085,0.148,0.134,0.054,0.254,0.188,0.023,0.099,0.188,0.086,0.026,0.022
2012-02-28 12:00:00,0.068,0.028,0.023,0.263,0.023,0.073,0.16,0.113,0.044,0.247,0.161,0.023,0.079,0.18,0.065,0.023,0.033
2012-02-28 13:00:00,0.05,0.019,0.018,0.241,0.011,0.048,0.104,0.076,0.029,0.273,0.088,0.023,0.053,0.144,0.036,0.011,0.022
2012-02-28 14:00:00,0.034,0.015,0.009,0.158,0.01,0.026,0.063,0.033,0.023,0.216,0.033,0.025,0.035,0.068,0.019,0.01,0.036
