hour,CZ,DE,LT,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,SE,SK
2013-02-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 07:00:00,0.0,0.0,0.002,0.046,0.038,0.023,0.037,0.011,0.099,0.057,0.041,0.042,0.047,0.04,0.022,0.051,0.115,0.036,0.039,0.026,0.0,0.002
2013-02-22 08:00:00,0.06,0.026,0.076,0.142,0.134,0.105,0.099,0.082,0.245,0.125,0.118,0.155,0.117,0.116,0.104,0.19,0.195,0.106,0.165,0.13,0.025,0.036
2013-02-22 09:00:00,0.137,0.106,0.195,0.242,0.269,0.187,0.197,0.16,0.342,0.2,0.201,0.288,0.191,0.203,0.224,0.295,0.29,0.22,0.292,0.237,0.107,0.09
2013-02-22 10:00:00,0.18,0.187,0.319,0.301,0.353,0.257,0.214,0.326,0.301,0.254,0.233,0.344,0.189,0.281,0.293,0.382,0.239,0.347,0.422,0.33,0.202,0.132
2013-02-22 11:00:00,0.22,0.236,0.363,0.332,0.373,0.309,0.221,0.388,0.331,0.277,0.27,0.283,0.18,0.317,0.358,0.405,0.264,0.423,0.465,0.44,0.277,0.148
2013-02-22 12:00:00,0.258,0.255,0.309,0.317,0.379,0.386,0.216,0.43,0.282,0.219,0.299,0.286,0.171,0.284,0.391,0.347,0.238,0.458,0.401,0.383,0.319,0.158
2013-02-22 13:00:00,0.247,0.244,0.23,0.242,0.282,0.418,0.156,0.351,0.247,0.15,0.227,0.157,0.145,0.208,0.395,0.194,0.189,0.347,0.271,0.314,0.298,0.147
2013-02-22 14:00:00,0.198,0.208,0.173,0.178,0.159,0.339,0.128,0.226,0.183,0.124,0.167,0.095,0.116,0.148,0.357,0.118,0.148,0.19,0.205,0.245,0.232,0.13
2013-02-22 15:00:00,0.127,0.161,0.103,0.095,0.071,0.188,0.061,0.132,0.091,0.066,0.093,0.051,0.038,0.085,0.195,0.069,0.065,0.097,0.11,0.182,0.164,0.103
2013-02-22 16:00:00,0.059,0.1,0.03,0.026,0.019,0.05,0.007,0.046,0.021,0.011,0.024,0.01,0.005,0.018,0.067,0.014,0.012,0.021,0.042,0.075,0.08,0.049
2013-02-22 17:00:00,0.009,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-23 07:00:00,0.0,0.0,0.008,0.023,0.017,0.007,0.018,0.01,0.02,0.031,0.013,0.017,0.069,0.032,0.024,0.023,0.03,0.035,0.014,0.01,0.0,0.003
2013-02-23 08:00:00,0.019,0.022,0.135,0.088,0.061,0.058,0.078,0.079,0.111,0.079,0.081,0.068,0.203,0.066,0.073,0.08,0.115,0.072,0.089,0.044,0.033,0.025
2013-02-23 09:00:00,0.049,0.084,0.278,0.179,0.111,0.28,0.199,0.142,0.163,0.135,0.257,0.123,0.284,0.112,0.098,0.15,0.192,0.147,0.184,0.166,0.113,0.049
2013-02-23 10:00:00,0.071,0.148,0.431,0.231,0.165,0.294,0.214,0.175,0.203,0.197,0.281,0.175,0.317,0.202,0.272,0.208,0.23,0.341,0.169,0.333,0.207,0.073
2013-02-23 11:00:00,0.088,0.193,0.534,0.234,0.188,0.225,0.184,0.146,0.244,0.249,0.219,0.21,0.319,0.213,0.305,0.245,0.265,0.292,0.16,0.321,0.28,0.094
2013-02-23 12:00:00,0.113,0.204,0.592,0.232,0.179,0.217,0.187,0.135,0.26,0.257,0.206,0.182,0.378,0.201,0.365,0.207,0.253,0.225,0.169,0.247,0.302,0.102
2013-02-23 13:00:00,0.134,0.192,0.578,0.158,0.139,0.138,0.133,0.137,0.167,0.187,0.123,0.15,0.234,0.163,0.163,0.153,0.172,0.141,0.162,0.154,0.282,0.091
