hour,DE,LT,PL,PL pomorskie,PL zachodniopomorskie,SE
2013-02-22 00:00:00,0.124,0.006,0.068,0.068,0.231,0.149
2013-02-22 01:00:00,0.116,0.0,0.054,0.054,0.172,0.131
2013-02-22 02:00:00,0.104,0.0,0.046,0.046,0.143,0.113
2013-02-22 03:00:00,0.102,0.0,0.044,0.044,0.128,0.101
2013-02-22 04:00:00,0.1,0.0,0.043,0.043,0.122,0.094
2013-02-22 05:00:00,0.116,0.0,0.04,0.04,0.117,0.092
2013-02-22 06:00:00,0.145,0.0,0.04,0.04,0.122,0.076
2013-02-22 07:00:00,0.168,0.0,0.04,0.04,0.127,0.065
2013-02-22 08:00:00,0.185,0.0,0.034,0.034,0.109,0.058
2013-02-22 09:00:00,0.195,0.0,0.023,0.023,0.084,0.047
2013-02-22 10:00:00,0.184,0.0,0.018,0.018,0.082,0.039
2013-02-22 11:00:00,0.196,0.0,0.016,0.016,0.065,0.02
2013-02-22 12:00:00,0.169,0.0,0.016,0.016,0.063,0.014
2013-02-22 13:00:00,0.157,0.003,0.023,0.023,0.077,0.012
2013-02-22 14:00:00,0.154,0.008,0.04,0.04,0.119,0.017
2013-02-22 15:00:00,0.169,0.002,0.094,0.094,0.184,0.027
2013-02-22 16:00:00,0.189,0.005,0.185,0.185,0.221,0.048
2013-02-22 17:00:00,0.219,0.012,0.27,0.27,0.274,0.068
2013-02-22 18:00:00,0.254,0.028,0.303,0.303,0.385,0.085
2013-02-22 19:00:00,0.276,0.049,0.331,0.331,0.457,0.088
2013-02-22 20:00:00,0.291,0.067,0.36,0.36,0.489,0.085
2013-02-22 21:00:00,0.296,0.087,0.413,0.413,0.504,0.084
2013-02-22 22:00:00,0.3,0.109,0.464,0.464,0.325,0.098
2013-02-22 23:00:00,0.287,0.136,0.508,0.508,0.442,0.152
2013-02-23 00:00:00,0.272,0.156,0.494,0.494,0.481,0.205
2013-02-23 01:00:00,0.247,0.185,0.544,0.544,0.543,0.224
2013-02-23 02:00:00,0.233,0.261,0.656,0.656,0.641,0.235
2013-02-23 03:00:00,0.232,0.398,0.764,0.764,0.717,0.253
2013-02-23 04:00:00,0.232,0.546,0.836,0.836,0.829,0.283
2013-02-23 05:00:00,0.247,0.636,0.909,0.909,0.91,0.322
2013-02-23 06:00:00,0.274,0.729,0.967,0.967,0.959,0.373
2013-02-23 07:00:00,0.32,0.788,0.988,0.988,0.973,0.431
2013-02-23 08:00:00,0.366,0.848,0.986,0.986,0.969,0.502
2013-02-23 09:00:00,0.416,0.86,0.978,0.978,0.982,0.54
2013-02-23 10:00:00,0.457,0.846,0.943,0.943,0.991,0.569
2013-02-23 11:00:00,0.518,0.828,0.896,0.896,0.982,0.608
2013-02-23 12:00:00,0.529,0.777,0.893,0.893,0.98,0.605
2013-02-23 13:00:00,0.534,0.753,0.902,0.902,0.974,0.612
2013-02-23 14:00:00,0.532,0.825,0.871,0.871,0.975,0.645
2013-02-23 15:00:00,0.585,0.831,0.828,0.828,0.967,0.681
2013-02-23 16:00:00,0.633,0.825,0.861,0.861,0.981,0.715
2013-02-23 17:00:00,0.679,0.9,0.915,0.915,0.985,0.707
2013-02-23 18:00:00,0.733,0.914,0.936,0.936,0.981,0.707
2013-02-23 19:00:00,0.756,0.929,0.926,0.926,0.977,0.709
2013-02-23 20:00:00,0.736,0.919,0.959,0.959,0.973,0.722
2013-02-23 21:00:00,0.693,0.904,0.977,0.977,0.974,0.743
2013-02-23 22:00:00,0.705,0.873,0.938,0.938,0.961,0.755
2013-02-23 23:00:00,0.774,0.723,0.957,0.957,0.944,0.693
2013-02-24 00:00:00,0.768,0.72,0.931,0.931,0.945,0.714
2013-02-24 01:00:00,0.768,0.775,0.931,0.931,0.949,0.739
2013-02-24 02:00:00,0.786,0.827,0.938,0.938,0.925,0.754
2013-02-24 03:00:00,0.796,0.861,0.925,0.925,0.901,0.748
2013-02-24 04:00:00,0.815,0.872,0.869,0.869,0.823,0.733
2013-02-24 05:00:00,0.846,0.874,0.817,0.817,0.783,0.715
2013-02-24 06:00:00,0.888,0.879,0.831,0.831,0.779,0.695
2013-02-24 07:00:00,0.912,0.879,0.851,0.851,0.879,0.673
2013-02-24 08:00:00,0.918,0.885,0.92,0.92,0.944,0.658
2013-02-24 09:00:00,0.913,0.877,0.941,0.941,0.95,0.64
2013-02-24 10:00:00,0.906,0.889,0.863,0.863,0.918,0.662
2013-02-24 11:00:00,0.927,0.807,0.888,0.888,0.901,0.626
2013-02-24 12:00:00,0.93,0.738,0.812,0.812,0.904,0.606
2013-02-24 13:00:00,0.921,0.764,0.745,0.745,0.925,0.579
2013-02-24 14:00:00,0.904,0.865,0.689,0.689,0.956,0.564
2013-02-24 15:00:00,0.88,0.91,0.695,0.695,0.949,0.565
2013-02-24 16:00:00,0.878,0.93,0.695,0.695,0.946,0.565
2013-02-24 17:00:00,0.865,0.923,0.585,0.585,0.929,0.601
2013-02-24 18:00:00,0.832,0.937,0.553,0.553,0.791,0.617
2013-02-24 19:00:00,0.813,0.941,0.527,0.527,0.686,0.608
2013-02-24 20:00:00,0.801,0.94,0.475,0.475,0.594,0.599
2013-02-24 21:00:00,0.782,0.931,0.488,0.488,0.559,0.554
2013-02-24 22:00:00,0.761,0.924,0.444,0.444,0.475,0.534
2013-02-24 23:00:00,0.784,0.781,0.497,0.497,0.559,0.453
2013-02-25 00:00:00,0.806,0.786,0.622,0.622,0.571,0.458
2013-02-25 01:00:00,0.814,0.827,0.737,0.737,0.655,0.446
2013-02-25 02:00:00,0.807,0.886,0.702,0.702,0.676,0.486
2013-02-25 03:00:00,0.805,0.905,0.591,0.591,0.635,0.523
2013-02-25 04:00:00,0.792,0.883,0.589,0.589,0.597,0.491
2013-02-25 05:00:00,0.777,0.799,0.647,0.647,0.654,0.446
2013-02-25 06:00:00,0.785,0.668,0.638,0.638,0.745,0.437
2013-02-25 07:00:00,0.797,0.625,0.597,0.597,0.768,0.433
2013-02-25 08:00:00,0.816,0.601,0.572,0.572,0.726,0.422
2013-02-25 09:00:00,0.792,0.543,0.568,0.568,0.627,0.414
2013-02-25 10:00:00,0.755,0.512,0.492,0.492,0.727,0.437
2013-02-25 11:00:00,0.706,0.448,0.532,0.532,0.801,0.384
2013-02-25 12:00:00,0.669,0.413,0.532,0.532,0.803,0.413
2013-02-25 13:00:00,0.684,0.406,0.511,0.511,0.912,0.42
2013-02-25 14:00:00,0.734,0.416,0.489,0.489,0.923,0.397
2013-02-25 15:00:00,0.788,0.422,0.491,0.491,0.878,0.376
2013-02-25 16:00:00,0.833,0.445,0.469,0.469,0.834,0.379
2013-02-25 17:00:00,0.86,0.46,0.442,0.442,0.786,0.369
2013-02-25 18:00:00,0.864,0.431,0.396,0.396,0.702,0.34
2013-02-25 19:00:00,0.833,0.388,0.333,0.333,0.595,0.312
2013-02-25 20:00:00,0.782,0.335,0.241,0.241,0.499,0.298
