hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2012-02-26 00:00:00,0.756,0.904,0.792,0.804,0.753,0.951,0.832,0.751,0.904,0.809,0.796,0.632,0.939,0.898,0.663,0.871,0.66
2012-02-26 01:00:00,0.729,0.842,0.734,0.765,0.69,0.939,0.865,0.73,0.887,0.817,0.824,0.614,0.939,0.908,0.662,0.832,0.633
2012-02-26 02:00:00,0.726,0.776,0.709,0.728,0.614,0.927,0.887,0.707,0.855,0.83,0.85,0.67,0.93,0.922,0.666,0.797,0.643
2012-02-26 03:00:00,0.703,0.652,0.689,0.704,0.501,0.885,0.875,0.667,0.792,0.839,0.861,0.706,0.904,0.938,0.673,0.737,0.629
2012-02-26 04:00:00,0.695,0.554,0.68,0.71,0.438,0.834,0.882,0.664,0.723,0.862,0.861,0.749,0.852,0.941,0.7,0.682,0.638
2012-02-26 05:00:00,0.676,0.484,0.642,0.735,0.435,0.764,0.845,0.671,0.608,0.907,0.85,0.762,0.762,0.918,0.707,0.62,0.639
2012-02-26 06:00:00,0.649,0.456,0.585,0.768,0.444,0.698,0.789,0.653,0.502,0.905,0.823,0.769,0.645,0.821,0.687,0.56,0.629
2012-02-26 07:00:00,0.602,0.455,0.52,0.701,0.424,0.61,0.711,0.638,0.431,0.873,0.73,0.766,0.533,0.723,0.659,0.476,0.588
2012-02-26 08:00:00,0.629,0.652,0.57,0.718,0.529,0.603,0.656,0.656,0.604,0.803,0.814,0.798,0.683,0.791,0.666,0.484,0.593
2012-02-26 09:00:00,0.685,0.539,0.705,0.706,0.429,0.65,0.588,0.651,0.594,0.635,0.83,0.934,0.683,0.752,0.738,0.554,0.663
2012-02-26 10:00:00,0.537,0.367,0.629,0.494,0.308,0.377,0.357,0.617,0.291,0.33,0.834,0.86,0.342,0.473,0.786,0.386,0.458
2012-02-26 11:00:00,0.624,0.412,0.809,0.489,0.415,0.436,0.345,0.781,0.333,0.346,0.903,0.907,0.333,0.439,0.906,0.576,0.499
2012-02-26 12:00:00,0.692,0.512,0.911,0.571,0.534,0.625,0.364,0.871,0.514,0.468,0.909,0.907,0.417,0.522,0.93,0.712,0.505
2012-02-26 13:00:00,0.736,0.69,0.92,0.732,0.569,0.765,0.432,0.91,0.719,0.594,0.889,0.907,0.684,0.63,0.942,0.779,0.507
2012-02-26 14:00:00,0.738,0.756,0.883,0.788,0.538,0.806,0.543,0.921,0.78,0.667,0.824,0.891,0.762,0.763,0.933,0.782,0.504
2012-02-26 15:00:00,0.7,0.669,0.789,0.79,0.489,0.788,0.599,0.876,0.787,0.611,0.785,0.863,0.752,0.79,0.91,0.714,0.483
2012-02-26 16:00:00,0.639,0.625,0.74,0.804,0.442,0.713,0.597,0.886,0.71,0.561,0.792,0.784,0.697,0.783,0.911,0.646,0.389
2012-02-26 17:00:00,0.61,0.59,0.739,0.781,0.396,0.702,0.554,0.885,0.681,0.594,0.758,0.729,0.648,0.766,0.89,0.621,0.344
2012-02-26 18:00:00,0.577,0.526,0.72,0.772,0.338,0.697,0.565,0.881,0.621,0.651,0.712,0.67,0.581,0.769,0.87,0.571,0.306
2012-02-26 19:00:00,0.548,0.477,0.666,0.782,0.309,0.693,0.577,0.862,0.563,0.688,0.688,0.615,0.535,0.787,0.837,0.495,0.303
2012-02-26 20:00:00,0.497,0.414,0.569,0.772,0.277,0.644,0.568,0.816,0.486,0.695,0.673,0.561,0.508,0.801,0.767,0.394,0.283
2012-02-26 21:00:00,0.449,0.334,0.486,0.775,0.258,0.582,0.554,0.759,0.406,0.685,0.657,0.522,0.477,0.803,0.695,0.323,0.252
