hour,CZ,DE,LT,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,SE,SK
2012-02-26 00:00:00,0.767,0.419,0.784,0.795,0.93,0.853,0.829,0.787,0.952,0.864,0.749,0.931,0.879,0.747,0.667,0.911,0.913,0.745,0.883,0.699,0.574,0.483
2012-02-26 01:00:00,0.782,0.419,0.796,0.766,0.878,0.816,0.792,0.722,0.939,0.888,0.752,0.925,0.873,0.791,0.649,0.929,0.921,0.756,0.844,0.639,0.564,0.508
2012-02-26 02:00:00,0.773,0.408,0.803,0.755,0.827,0.796,0.763,0.643,0.923,0.911,0.765,0.904,0.87,0.827,0.688,0.921,0.93,0.758,0.809,0.622,0.55,0.598
2012-02-26 03:00:00,0.759,0.401,0.806,0.727,0.726,0.757,0.743,0.54,0.879,0.898,0.753,0.86,0.866,0.831,0.71,0.897,0.939,0.756,0.749,0.595,0.542,0.659
2012-02-26 04:00:00,0.73,0.393,0.798,0.712,0.63,0.721,0.759,0.498,0.838,0.896,0.748,0.796,0.875,0.839,0.743,0.853,0.945,0.771,0.693,0.604,0.542,0.654
2012-02-26 05:00:00,0.716,0.384,0.788,0.687,0.55,0.66,0.792,0.508,0.775,0.844,0.736,0.692,0.905,0.849,0.752,0.774,0.926,0.773,0.642,0.598,0.541,0.662
2012-02-26 06:00:00,0.68,0.366,0.774,0.659,0.505,0.593,0.806,0.52,0.725,0.785,0.72,0.578,0.912,0.843,0.761,0.671,0.864,0.748,0.599,0.581,0.543,0.65
2012-02-26 07:00:00,0.656,0.339,0.759,0.616,0.492,0.528,0.737,0.503,0.658,0.721,0.713,0.494,0.894,0.76,0.759,0.568,0.783,0.706,0.535,0.547,0.537,0.615
2012-02-26 08:00:00,0.638,0.32,0.731,0.653,0.693,0.551,0.739,0.648,0.658,0.686,0.745,0.68,0.82,0.816,0.802,0.706,0.808,0.734,0.599,0.512,0.517,0.583
2012-02-26 09:00:00,0.681,0.305,0.773,0.702,0.607,0.726,0.704,0.507,0.683,0.654,0.758,0.659,0.681,0.88,0.943,0.687,0.799,0.785,0.603,0.592,0.463,0.53
2012-02-26 10:00:00,0.68,0.257,0.811,0.562,0.392,0.665,0.511,0.38,0.445,0.406,0.678,0.349,0.35,0.829,0.872,0.37,0.525,0.833,0.43,0.421,0.436,0.714
2012-02-26 11:00:00,0.557,0.148,0.812,0.657,0.466,0.835,0.52,0.517,0.512,0.388,0.804,0.395,0.39,0.902,0.921,0.368,0.494,0.919,0.6,0.476,0.342,0.366
2012-02-26 12:00:00,0.554,0.134,0.812,0.732,0.618,0.91,0.623,0.618,0.694,0.405,0.882,0.541,0.562,0.935,0.928,0.442,0.548,0.941,0.727,0.517,0.305,0.361
2012-02-26 13:00:00,0.556,0.133,0.789,0.781,0.766,0.921,0.768,0.65,0.809,0.46,0.921,0.777,0.697,0.919,0.926,0.659,0.633,0.955,0.78,0.538,0.315,0.383
2012-02-26 14:00:00,0.568,0.14,0.807,0.792,0.815,0.885,0.837,0.637,0.844,0.604,0.945,0.84,0.782,0.908,0.907,0.782,0.775,0.944,0.788,0.546,0.32,0.396
2012-02-26 15:00:00,0.683,0.149,0.792,0.755,0.769,0.804,0.825,0.594,0.823,0.669,0.907,0.835,0.725,0.842,0.882,0.788,0.795,0.925,0.734,0.524,0.332,0.487
2012-02-26 16:00:00,0.705,0.157,0.795,0.706,0.718,0.749,0.841,0.549,0.767,0.659,0.913,0.767,0.674,0.852,0.808,0.727,0.779,0.925,0.682,0.451,0.356,0.492
2012-02-26 17:00:00,0.657,0.164,0.793,0.678,0.689,0.729,0.821,0.506,0.762,0.605,0.904,0.732,0.697,0.823,0.756,0.677,0.768,0.909,0.659,0.415,0.394,0.609
