hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2015-02-26 00:00:00,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623
2015-02-26 01:00:00,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451
2015-02-26 02:00:00,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319
2015-02-26 03:00:00,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226
2015-02-26 04:00:00,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166
2015-02-26 05:00:00,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145
2015-02-26 06:00:00,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234
2015-02-26 07:00:00,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
2015-02-26 08:00:00,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716
2015-02-26 09:00:00,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
2015-02-26 10:00:00,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043
2015-02-26 11:00:00,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122
2015-02-26 12:00:00,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179,1.179
2015-02-26 13:00:00,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216,1.216
2015-02-26 14:00:00,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253,1.253
2015-02-26 15:00:00,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337
2015-02-26 16:00:00,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459,1.459
2015-02-26 17:00:00,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574,1.574
2015-02-26 18:00:00,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593,1.593
2015-02-26 19:00:00,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526
2015-02-26 20:00:00,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403,1.403
2015-02-26 21:00:00,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238,1.238
2015-02-26 22:00:00,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049
2015-02-26 23:00:00,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849
2015-02-27 00:00:00,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642
2015-02-27 01:00:00,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
2015-02-27 02:00:00,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331
2015-02-27 03:00:00,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236
2015-02-27 04:00:00,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173
2015-02-27 05:00:00,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155
2015-02-27 06:00:00,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249
2015-02-27 07:00:00,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469
2015-02-27 08:00:00,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766,0.766
2015-02-27 09:00:00,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
