hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie
2013-02-22 00:00:00,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988
2013-02-22 01:00:00,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952
2013-02-22 02:00:00,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
2013-02-22 03:00:00,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
2013-02-22 04:00:00,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
2013-02-22 05:00:00,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981
2013-02-22 06:00:00,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083
2013-02-22 07:00:00,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176
2013-02-22 08:00:00,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242
2013-02-22 09:00:00,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267,1.267
2013-02-22 10:00:00,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264
2013-02-22 11:00:00,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274
2013-02-22 12:00:00,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274
2013-02-22 13:00:00,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
2013-02-22 14:00:00,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
2013-02-22 15:00:00,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219
2013-02-22 16:00:00,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213
2013-02-22 17:00:00,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279
2013-02-22 18:00:00,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314
2013-02-22 19:00:00,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302,1.302
2013-02-22 20:00:00,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
2013-02-22 21:00:00,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183
2013-02-22 22:00:00,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098
2013-02-22 23:00:00,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032
2013-02-23 00:00:00,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962
2013-02-23 01:00:00,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919
2013-02-23 02:00:00,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903
2013-02-23 03:00:00,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893
2013-02-23 04:00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
