hour,CZ,DE,LT,SE,SK
2013-02-22 00:00:00,1.011,1.027,1.016,1.172,1.024
2013-02-22 01:00:00,1.041,1.014,1.015,1.147,1.019
2013-02-22 02:00:00,1.03,1.009,1.012,1.145,1.022
2013-02-22 03:00:00,1.019,1.006,1.012,1.139,1.029
2013-02-22 04:00:00,1.029,1.005,1.035,1.153,1.059
2013-02-22 05:00:00,1.087,1.062,1.138,1.221,1.125
2013-02-22 06:00:00,1.196,1.163,1.225,1.325,1.252
2013-02-22 07:00:00,1.256,1.254,1.276,1.399,1.277
2013-02-22 08:00:00,1.284,1.306,1.277,1.413,1.317
2013-02-22 09:00:00,1.313,1.326,1.27,1.42,1.311
2013-02-22 10:00:00,1.316,1.332,1.265,1.414,1.305
2013-02-22 11:00:00,1.308,1.337,1.254,1.4,1.31
2013-02-22 12:00:00,1.309,1.346,1.257,1.383,1.307
2013-02-22 13:00:00,1.301,1.347,1.248,1.368,1.28
2013-02-22 14:00:00,1.292,1.327,1.237,1.362,1.271
2013-02-22 15:00:00,1.289,1.318,1.226,1.355,1.271
2013-02-22 16:00:00,1.285,1.333,1.227,1.37,1.3
2013-02-22 17:00:00,1.289,1.366,1.242,1.39,1.291
2013-02-22 18:00:00,1.277,1.374,1.255,1.395,1.304
2013-02-22 19:00:00,1.269,1.35,1.242,1.388,1.282
2013-02-22 20:00:00,1.231,1.285,1.191,1.348,1.222
2013-02-22 21:00:00,1.17,1.23,1.109,1.291,1.15
2013-02-22 22:00:00,1.111,1.179,1.057,1.227,1.097
2013-02-22 23:00:00,1.064,1.115,1.027,1.199,1.067
2013-02-23 00:00:00,1.021,1.051,1.015,1.166,1.026
2013-02-23 01:00:00,1.031,0.982,0.987,1.131,0.957
2013-02-23 02:00:00,1.022,0.977,0.985,1.129,0.962
2013-02-23 03:00:00,1.01,0.975,0.985,1.122,0.97
2013-02-23 04:00:00,1.021,0.974,1.007,1.135,0.997
2013-02-23 05:00:00,1.077,1.034,1.111,1.198,1.062
2013-02-23 06:00:00,1.185,1.144,1.195,1.297,1.204
2013-02-23 07:00:00,1.244,1.242,1.245,1.37,1.236
2013-02-23 08:00:00,1.271,1.297,1.245,1.387,1.278
2013-02-23 09:00:00,1.302,1.318,1.237,1.395,1.272
2013-02-23 10:00:00,1.306,1.321,1.232,1.39,1.265
2013-02-23 11:00:00,1.299,1.327,1.22,1.376,1.275
2013-02-23 12:00:00,1.301,1.336,1.224,1.359,1.277
2013-02-23 13:00:00,1.295,1.337,1.216,1.346,1.247
2013-02-23 14:00:00,1.286,1.319,1.204,1.34,1.236
2013-02-23 15:00:00,1.285,1.31,1.188,1.334,1.231
2013-02-23 16:00:00,1.284,1.323,1.187,1.35,1.251
2013-02-23 17:00:00,1.289,1.356,1.204,1.369,1.231
2013-02-23 18:00:00,1.272,1.359,1.22,1.374,1.237
2013-02-23 19:00:00,1.262,1.325,1.211,1.368,1.22
2013-02-23 20:00:00,1.223,1.264,1.163,1.331,1.167
2013-02-23 21:00:00,1.159,1.209,1.079,1.275,1.088
2013-02-23 22:00:00,1.101,1.155,1.027,1.213,1.03
2013-02-23 23:00:00,1.054,1.088,0.999,1.184,0.993
2013-02-24 00:00:00,1.008,1.022,0.988,1.153,0.944
2013-02-24 01:00:00,0.906,0.924,0.942,1.083,0.873
2013-02-24 02:00:00,0.906,0.901,0.941,1.078,0.878
2013-02-24 03:00:00,0.896,0.897,0.94,1.067,0.879
2013-02-24 04:00:00,0.89,0.895,0.943,1.061,0.883
2013-02-24 05:00:00,0.897,0.899,0.979,1.069,0.88
2013-02-24 06:00:00,0.938,0.902,1.015,1.112,0.946
2013-02-24 07:00:00,0.978,0.959,1.057,1.168,0.989
2013-02-24 08:00:00,1.009,1.024,1.091,1.191,1.067
2013-02-24 09:00:00,1.06,1.071,1.103,1.21,1.098
2013-02-24 10:00:00,1.087,1.096,1.103,1.219,1.124
2013-02-24 11:00:00,1.09,1.102,1.097,1.219,1.119
2013-02-24 12:00:00,1.086,1.1,1.094,1.214,1.091
2013-02-24 13:00:00,1.087,1.074,1.084,1.21,1.067
2013-02-24 14:00:00,1.083,1.051,1.074,1.212,1.041
2013-02-24 15:00:00,1.09,1.047,1.071,1.223,1.05
2013-02-24 16:00:00,1.101,1.066,1.082,1.248,1.075
2013-02-24 17:00:00,1.1,1.097,1.097,1.276,1.067
2013-02-24 18:00:00,1.082,1.096,1.11,1.28,1.067
2013-02-24 19:00:00,1.066,1.091,1.117,1.273,1.051
2013-02-24 20:00:00,1.051,1.042,1.093,1.24,1.013
2013-02-24 21:00:00,1.015,1.009,1.028,1.2,0.969
2013-02-24 22:00:00,0.992,0.985,0.981,1.156,0.91
2013-02-24 23:00:00,0.966,0.935,0.95,1.141,0.881
2013-02-25 00:00:00,0.931,0.915,0.941,1.114,0.84
2013-02-25 01:00:00,0.882,0.854,0.93,1.083,0.831
2013-02-25 02:00:00,0.884,0.828,0.927,1.08,0.831
2013-02-25 03:00:00,0.873,0.817,0.928,1.07,0.831
2013-02-25 04:00:00,0.864,0.814,0.93,1.065,0.836
2013-02-25 05:00:00,0.869,0.817,0.949,1.071,0.839
2013-02-25 06:00:00,0.909,0.823,0.97,1.113,0.885
2013-02-25 07:00:00,0.951,0.852,1.003,1.169,0.925
2013-02-25 08:00:00,0.987,0.92,1.045,1.189,1.002
2013-02-25 09:00:00,1.04,0.967,1.067,1.204,1.04
2013-02-25 10:00:00,1.07,1.004,1.072,1.208,1.069
2013-02-25 11:00:00,1.072,1.032,1.069,1.204,1.058
2013-02-25 12:00:00,1.067,1.02,1.064,1.196,1.022
2013-02-25 13:00:00,1.067,0.999,1.056,1.19,1.002
2013-02-25 14:00:00,1.063,0.978,1.051,1.191,0.976
2013-02-25 15:00:00,1.069,0.974,1.061,1.201,0.989
2013-02-25 16:00:00,1.079,0.986,1.085,1.225,1.019
2013-02-25 17:00:00,1.078,1.03,1.107,1.26,1.027
2013-02-25 18:00:00,1.061,1.038,1.122,1.273,1.041
2013-02-25 19:00:00,1.047,1.032,1.129,1.273,1.032
2013-02-25 20:00:00,1.035,1.021,1.101,1.243,0.991
2013-02-25 21:00:00,1.002,0.999,1.026,1.203,0.955
2013-02-25 22:00:00,0.978,0.984,0.975,1.16,0.904
2013-02-25 23:00:00,0.953,0.938,0.943,1.146,0.881
2013-02-26 00:00:00,0.92,0.908,0.929,1.119,0.848
2013-02-26 01:00:00,0.984,0.918,0.943,1.122,0.897
2013-02-26 02:00:00,0.972,0.913,0.939,1.123,0.898
2013-02-26 03:00:00,0.961,0.91,0.941,1.12,0.906
2013-02-26 04:00:00,0.973,0.909,0.967,1.138,0.94
2013-02-26 05:00:00,1.031,0.974,1.072,1.208,1.02
2013-02-26 06:00:00,1.15,1.09,1.157,1.308,1.146
2013-02-26 07:00:00,1.207,1.191,1.21,1.374,1.168
2013-02-26 08:00:00,1.229,1.245,1.215,1.381,1.197
2013-02-26 09:00:00,1.248,1.266,1.207,1.38,1.186
2013-02-26 10:00:00,1.242,1.27,1.202,1.365,1.174
2013-02-26 11:00:00,1.231,1.276,1.188,1.347,1.18
2013-02-26 12:00:00,1.237,1.286,1.192,1.327,1.181
2013-02-26 13:00:00,1.231,1.288,1.183,1.311,1.157
2013-02-26 14:00:00,1.223,1.269,1.171,1.303,1.152
